label,Facelandmark_pts,eye_side,eyelid,dpi
016_220325_1753_5_5_4.pts,68,left,189.6840208815118,96
016_220325_1753_5_5_4.pts,68,right,167.91077326299757,96
016_220325_1753_5_5_5.pts,68,left,209.10461629422622,96
016_220325_1753_5_5_5.pts,68,right,184.39126576085138,96
016_220325_1753_5_5_6.pts,68,left,192.19626109208713,96
016_220325_1753_5_5_6.pts,68,right,168.63216050195032,96
016_220325_1753_5_5_7.pts,68,left,163.60574646930286,96
016_220325_1753_5_5_7.pts,68,right,149.2449515245175,96
016_220325_1753_5_5_8.pts,68,left,204.06899296289203,96
016_220325_1753_5_5_8.pts,68,right,178.03027208252473,96
016_220325_1756_4_0_1.pts,68,left,155.33320547205042,96
016_220325_1756_4_0_1.pts,68,right,173.0932993439603,96
016_220327_1439_5_5_3.pts,68,left,209.68931117780468,96
016_220327_1439_5_5_3.pts,68,right,176.7346567283534,96
016_220327_1705_5_5_2.pts,68,left,197.17438488697138,96
016_220327_1705_5_5_2.pts,68,right,195.93410527805284,96
016_220327_1705_5_5_3.pts,68,left,215.99429326309104,96
016_220327_1705_5_5_3.pts,68,right,201.2355515862498,96
016_220327_1707_4_0_3.pts,68,left,201.06441753826064,96
016_220327_1707_4_0_3.pts,68,right,162.55851681437326,96
016_220327_1709_1_0_1.pts,68,left,224.74283575282712,96
016_220327_1709_1_0_1.pts,68,right,188.15101794982556,96
016_220327_1709_1_0_10.pts,68,left,231.66704136660329,96
016_220327_1709_1_0_10.pts,68,right,193.51930782224292,96
016_220327_1709_1_0_11.pts,68,left,229.10001515592356,96
016_220327_1709_1_0_11.pts,68,right,199.29992822098276,96
016_220327_1709_1_0_12.pts,68,left,232.26608364354686,96
016_220327_1709_1_0_12.pts,68,right,187.41226465854496,96
016_220327_1709_1_0_13.pts,68,left,238.3132887841364,96
016_220327_1709_1_0_13.pts,68,right,203.9796892122132,96
016_220327_1709_1_0_14.pts,68,left,222.52492120109952,96
016_220327_1709_1_0_14.pts,68,right,189.4402427034857,96
016_220327_1709_1_0_15.pts,68,left,231.53610709539208,96
016_220327_1709_1_0_15.pts,68,right,185.90645497131092,96
016_220327_1709_1_0_16.pts,68,left,233.54433316943377,96
016_220327_1709_1_0_16.pts,68,right,185.3137714496386,96
016_220327_1709_1_0_17.pts,68,left,241.8170853719351,96
016_220327_1709_1_0_17.pts,68,right,189.7060481962086,96
016_220327_1709_1_0_18.pts,68,left,227.3573331661957,96
016_220327_1709_1_0_18.pts,68,right,184.10735470250924,96
016_220327_1709_1_0_19.pts,68,left,234.03222119091964,96
016_220327_1709_1_0_19.pts,68,right,190.52055736265777,96
016_220327_1709_1_0_2.pts,68,left,229.6691436731446,96
016_220327_1709_1_0_2.pts,68,right,195.03606860156793,96
016_220327_1709_1_0_3.pts,68,left,229.50377689944693,96
016_220327_1709_1_0_3.pts,68,right,191.7606443518123,96
016_220327_1709_1_0_4.pts,68,left,228.16837654582096,96
016_220327_1709_1_0_4.pts,68,right,193.57646565519156,96
016_220327_1709_1_0_5.pts,68,left,229.10323061401337,96
016_220327_1709_1_0_5.pts,68,right,202.4505001228696,96
028_220326_1343_2_0_1.pts,68,left,141.50031802084408,96
028_220326_1343_2_0_1.pts,68,right,135.84856356333785,96
028_220326_1343_2_0_2.pts,68,left,143.90185409198537,96
028_220326_1343_2_0_2.pts,68,right,136.55693155440912,96
028_220326_1343_2_0_3.pts,68,left,144.83717390381688,96
028_220326_1343_2_0_3.pts,68,right,137.8785052944158,96
028_220326_1343_2_0_4.pts,68,left,98.96114417060647,96
028_220326_1343_2_0_4.pts,68,right,87.39781970329057,96
028_220326_1343_2_0_5.pts,68,left,146.97355109754366,96
028_220326_1343_2_0_5.pts,68,right,135.33339593594607,96
028_220326_1343_2_0_6.pts,68,left,146.42260090421706,96
028_220326_1343_2_0_6.pts,68,right,138.7225017796321,96
028_220326_1343_2_0_7.pts,68,left,96.53585545738373,96
028_220326_1343_2_0_7.pts,68,right,89.47875290940429,96
028_220326_1343_2_0_8.pts,68,left,148.463150123,96
028_220326_1343_2_0_8.pts,68,right,138.65901922021195,96
028_220326_1343_2_0_9.pts,68,left,148.65064936136517,96
028_220326_1343_2_0_9.pts,68,right,136.8410158216867,96
028_220328_0634_2_0_1.pts,68,left,142.9853149025376,96
028_220328_0634_2_0_1.pts,68,right,125.51352516760905,96
028_220328_0638_5_5_1.pts,68,left,231.1836000767453,96
028_220328_0638_5_5_1.pts,68,right,208.13472266245662,96
028_220328_0638_5_5_2.pts,68,left,140.3097248550111,96
028_220328_0638_5_5_2.pts,68,right,134.234807747883,96
028_220328_0638_5_5_3.pts,68,left,132.58210558828182,96
028_220328_0638_5_5_3.pts,68,right,121.80268310308699,96
028_220328_0638_5_5_5.pts,68,left,138.40820965535255,96
028_220328_0638_5_5_5.pts,68,right,123.99641571880669,96
028_220328_0638_5_5_6.pts,68,left,123.67486495736402,96
028_220328_0638_5_5_6.pts,68,right,115.17052694929288,96
028_220328_0638_5_5_7.pts,68,left,147.2676371252165,96
028_220328_0638_5_5_7.pts,68,right,127.34227717280532,96
028_220328_0638_5_5_8.pts,68,left,142.29659947525903,96
028_220328_0638_5_5_8.pts,68,right,116.55883111592671,96
028_220328_0644_5_5_1.pts,68,left,231.7657899451274,96
028_220328_0644_5_5_1.pts,68,right,213.7840291301273,96
028_220328_0644_5_5_2.pts,68,left,148.85878841670342,96
028_220328_0644_5_5_2.pts,68,right,131.09677193245886,96
028_220328_0644_5_5_3.pts,68,left,138.31124321616085,96
028_220328_0644_5_5_3.pts,68,right,127.87741743126061,96
028_220328_0644_5_5_4.pts,68,left,153.53271819242795,96
028_220328_0644_5_5_4.pts,68,right,126.83162066298773,96
028_220328_1645_2_0_54.pts,68,left,149.16013207288321,96
028_220328_1645_2_0_54.pts,68,right,124.54915138655532,96
028_220328_1645_2_0_55.pts,68,left,150.0008759233686,96
028_220328_1645_2_0_55.pts,68,right,128.6918293616359,96
028_220328_1645_2_0_56.pts,68,left,146.65667484904253,96
028_220328_1645_2_0_56.pts,68,right,124.82610348445209,96
028_220328_1645_2_0_57.pts,68,left,148.02594554859465,96
028_220328_1645_2_0_57.pts,68,right,134.94532637743004,96
028_220328_1645_2_0_58.pts,68,left,152.77302790596102,96
028_220328_1645_2_0_58.pts,68,right,115.86618838604781,96
028_220328_1645_2_0_59.pts,68,left,157.3980940164144,96
028_220328_1645_2_0_59.pts,68,right,120.3761615843344,96
028_220328_1645_2_0_60.pts,68,left,152.6523437604401,96
028_220328_1645_2_0_60.pts,68,right,128.83578803181118,96
028_220328_1645_2_0_61.pts,68,left,153.31232645956584,96
028_220328_1645_2_0_61.pts,68,right,135.98157759212995,96
028_220328_1645_2_0_62.pts,68,left,148.67655516440925,96
028_220328_1645_2_0_62.pts,68,right,128.9422889857662,96
028_220328_1645_2_0_63.pts,68,left,154.04454352195958,96
028_220328_1645_2_0_63.pts,68,right,135.32570175526718,96
028_220328_1645_2_0_64.pts,68,left,148.08720591447303,96
028_220328_1645_2_0_64.pts,68,right,128.70385149205458,96
028_220328_1645_2_0_65.pts,68,left,147.51940079566194,96
028_220328_1645_2_0_65.pts,68,right,127.71126396854915,96
028_220328_1645_2_0_66.pts,68,left,148.21094670172704,96
028_220328_1645_2_0_66.pts,68,right,126.3108170348051,96
028_220328_1645_2_0_67.pts,68,left,152.07854147702022,96
028_220328_1645_2_0_67.pts,68,right,122.67457515267327,96
028_220328_1645_2_0_68.pts,68,left,143.94267570421553,96
028_220328_1645_2_0_68.pts,68,right,127.34596468762666,96
028_220328_1645_2_0_69.pts,68,left,149.23190938193392,96
028_220328_1645_2_0_69.pts,68,right,125.93480345886192,96
