label,Facelandmark_pts,eye_side,eyelid
000_1_1.pts,68,left,102.04870432039904
000_1_1.pts,68,right,95.08457496852182
000_1_2.pts,68,left,105.14035445800796
000_1_2.pts,68,right,97.21252677053047
000_2_1.pts,68,left,101.65418986418837
000_2_1.pts,68,right,95.69411689481107
000_2_2.pts,68,left,101.51888963855174
000_2_2.pts,68,right,95.82312040435632
000_3_1.pts,68,left,98.3781574405055
000_3_1.pts,68,right,93.08657117570715
000_3_2.pts,68,left,99.0700669561419
000_3_2.pts,68,right,93.68962633744465
000_4_1.pts,68,left,102.16948145252466
000_4_1.pts,68,right,100.10229193527213
000_4_2.pts,68,left,104.35606770744624
000_4_2.pts,68,right,98.81552651335268
001_1_1.pts,68,left,104.62679856691166
001_1_1.pts,68,right,94.37958469717434
001_1_2.pts,68,left,103.84720858202104
001_1_2.pts,68,right,94.66648201038325
001_2_1.pts,68,left,101.900570409073
001_2_1.pts,68,right,93.32339651046784
001_2_2.pts,68,left,103.10017932479826
001_2_2.pts,68,right,93.09723310081654
001_3_1.pts,68,left,101.78186030182391
001_3_1.pts,68,right,90.79968175329691
001_3_2.pts,68,left,98.88618522560276
001_3_2.pts,68,right,92.44332068609512
001_4_1.pts,68,left,104.96573116472086
001_4_1.pts,68,right,95.89087022756651
001_4_2.pts,68,left,102.99123526300667
001_4_2.pts,68,right,95.00833379601208
002_1_1.pts,68,left,105.6560267947624
002_1_1.pts,68,right,95.81049178702828
002_1_2.pts,68,left,105.44723774173085
002_1_2.pts,68,right,95.5655634270991
002_2_1.pts,68,left,100.0398249600017
002_2_1.pts,68,right,91.58461109284559
002_2_2.pts,68,left,101.10808643462805
002_2_2.pts,68,right,90.64175339780105
002_3_1.pts,68,left,102.07251184139199
002_3_1.pts,68,right,91.30726610751071
002_3_2.pts,68,left,100.49379573455714
002_3_2.pts,68,right,90.56365204174844
002_4_1.pts,68,left,103.14321846884124
002_4_1.pts,68,right,94.60998220134532
002_4_2.pts,68,left,103.13079561222781
002_4_2.pts,68,right,91.86770763954245
003_1_1.pts,68,left,110.88767858613608
003_1_1.pts,68,right,96.07019740504573
003_1_2.pts,68,left,109.46370490715174
003_1_2.pts,68,right,96.29273200045331
003_2_1.pts,68,left,110.51960614625001
003_2_1.pts,68,right,93.5433884358246
003_2_2.pts,68,left,107.52744560679479
003_2_2.pts,68,right,94.24304356320178
003_3_1.pts,68,left,103.74910339264514
003_3_1.pts,68,right,92.84997576930813
003_3_2.pts,68,left,102.27704166027567
003_3_2.pts,68,right,92.4587798126519
003_4_1.pts,68,left,105.09918369397015
003_4_1.pts,68,right,95.92939262927821
003_4_2.pts,68,left,104.87816080788437
003_4_2.pts,68,right,94.99926036583419
004_1_1.pts,68,left,104.52713872934841
004_1_1.pts,68,right,101.66102480534131
004_1_2.pts,68,left,104.36578930018207
004_1_2.pts,68,right,99.7311275516437
004_2_1.pts,68,left,104.50735553711571
004_2_1.pts,68,right,100.82381417119551
004_2_2.pts,68,left,104.01850398540202
004_2_2.pts,68,right,100.10837480922584
004_3_1.pts,68,left,101.60811889750202
004_3_1.pts,68,right,97.77769015490078
004_3_2.pts,68,left,103.25568191979669
004_3_2.pts,68,right,101.36306907528557
004_4_1.pts,68,left,108.80391858650032
004_4_1.pts,68,right,105.04494842804196
004_4_2.pts,68,left,109.08405060752213
004_4_2.pts,68,right,104.90711168695857
005_1_1.pts,68,left,101.22842226261245
005_1_1.pts,68,right,90.4582035603245
005_1_2.pts,68,left,103.11495081003319
005_1_2.pts,68,right,91.41594071741538
005_2_1.pts,68,left,102.65629025106598
005_2_1.pts,68,right,90.50463641223644
005_2_2.pts,68,left,102.49539962820012
005_2_2.pts,68,right,91.80997996844111
005_3_1.pts,68,left,99.60563144973283
005_3_1.pts,68,right,90.00823899711133
005_3_2.pts,68,left,99.88645398053517
005_3_2.pts,68,right,89.37123236689632
005_4_1.pts,68,left,103.7879198099288
005_4_1.pts,68,right,94.26087201072468
005_4_2.pts,68,left,104.16270412143156
005_4_2.pts,68,right,95.61495203186347
006_1_1.pts,68,left,104.00348638093291
006_1_1.pts,68,right,89.84874721086047
006_1_2.pts,68,left,103.76288048090437
006_1_2.pts,68,right,90.40180818327453
006_2_1.pts,68,left,103.2934317060437
006_2_1.pts,68,right,95.9085653214966
006_2_2.pts,68,left,97.91975904521124
006_2_2.pts,68,right,84.53637125406765
006_3_1.pts,68,left,108.86433420062075
006_3_1.pts,68,right,89.52819751216806
006_3_2.pts,68,left,104.85162032552901
006_3_2.pts,68,right,91.13643809954517
006_4_1.pts,68,left,109.3888515810557
006_4_1.pts,68,right,95.54563904301905
006_4_2.pts,68,left,111.05899845339964
006_4_2.pts,68,right,94.8864784480791
007_1_1.pts,68,left,101.89380775823533
007_1_1.pts,68,right,94.12574843409097
007_1_2.pts,68,left,101.7315353326533
007_1_2.pts,68,right,90.22627852685466
007_2_1.pts,68,left,99.92378491032825
007_2_1.pts,68,right,92.85358984698561
007_2_2.pts,68,left,103.3904532499119
007_2_2.pts,68,right,95.24193945537974
007_3_1.pts,68,left,103.05481745869258
007_3_1.pts,68,right,88.2981247126901
007_3_2.pts,68,left,107.64145854499763
007_3_2.pts,68,right,98.92387789847415
007_4_1.pts,68,left,103.034659718897
007_4_1.pts,68,right,94.97975584492261
007_4_2.pts,68,left,103.97619435142623
007_4_2.pts,68,right,95.79472600551784
008_1_1.pts,68,left,97.37901138863434
008_1_1.pts,68,right,90.97646350949483
008_1_2.pts,68,left,98.9154410061667
008_1_2.pts,68,right,90.0709304964704
008_2_1.pts,68,left,98.39329729387627
008_2_1.pts,68,right,89.65082018897296
008_2_2.pts,68,left,96.51011590271538
008_2_2.pts,68,right,88.87654071832205
008_3_1.pts,68,left,95.61453142755612
008_3_1.pts,68,right,86.48126017300578
008_3_2.pts,68,left,95.18453021383138
008_3_2.pts,68,right,87.03186687852393
008_4_1.pts,68,left,100.22257377679163
008_4_1.pts,68,right,92.15278986266348
008_4_2.pts,68,left,98.92746246563128
008_4_2.pts,68,right,91.71644069570567
009_1_1.pts,68,left,109.62050399357577
009_1_1.pts,68,right,97.52796347145204
