label,Facelandmark_pts,Head_yaw,Head_pitch,Head_roll
0.pts,68,None,None,None
1.pts,68,None,None,None
10.pts,68,None,None,None
100.pts,68,None,None,None
1000.pts,68,None,None,None
10000.pts,68,None,None,None
10001.pts,68,None,None,None
10002.pts,68,None,None,None
10003.pts,68,None,None,None
10004.pts,68,None,None,None
10005.pts,68,None,None,None
10006.pts,68,None,None,None
10007.pts,68,None,None,None
10008.pts,68,None,None,None
10009.pts,68,None,None,None
1001.pts,68,None,None,None
10010.pts,68,None,None,None
10011.pts,68,None,None,None
10012.pts,68,None,None,None
10013.pts,68,None,None,None
10014.pts,68,None,None,None
10015.pts,68,None,None,None
10016.pts,68,None,None,None
10017.pts,68,None,None,None
10018.pts,68,None,None,None
10019.pts,68,None,None,None
10020.pts,68,None,None,None
10021.pts,68,None,None,None
10022.pts,68,None,None,None
10023.pts,68,None,None,None
10024.pts,68,None,None,None
10025.pts,68,None,None,None
10026.pts,68,None,None,None
10027.pts,68,None,None,None
10028.pts,68,None,None,None
10029.pts,68,None,None,None
1003.pts,68,None,None,None
10030.pts,68,None,None,None
10031.pts,68,None,None,None
10032.pts,68,None,None,None
10033.pts,68,None,None,None
10034.pts,68,None,None,None
10035.pts,68,None,None,None
10036.pts,68,None,None,None
10037.pts,68,None,None,None
10038.pts,68,None,None,None
10039.pts,68,None,None,None
1004.pts,68,None,None,None
10040.pts,68,None,None,None
10041.pts,68,None,None,None
10042.pts,68,None,None,None
10043.pts,68,None,None,None
10044.pts,68,None,None,None
10045.pts,68,None,None,None
10046.pts,68,None,None,None
10047.pts,68,None,None,None
10048.pts,68,None,None,None
10049.pts,68,None,None,None
1005.pts,68,None,None,None
10050.pts,68,None,None,None
10051.pts,68,None,None,None
10052.pts,68,None,None,None
10053.pts,68,None,None,None
10054.pts,68,None,None,None
10055.pts,68,None,None,None
10056.pts,68,None,None,None
10057.pts,68,None,None,None
10058.pts,68,None,None,None
10059.pts,68,None,None,None
1006.pts,68,None,None,None
10060.pts,68,None,None,None
10061.pts,68,None,None,None
10062.pts,68,None,None,None
10063.pts,68,None,None,None
10064.pts,68,None,None,None
10065.pts,68,None,None,None
10066.pts,68,None,None,None
10067.pts,68,None,None,None
10068.pts,68,None,None,None
10069.pts,68,None,None,None
1007.pts,68,None,None,None
10070.pts,68,None,None,None
10071.pts,68,None,None,None
10072.pts,68,None,None,None
10073.pts,68,None,None,None
10074.pts,68,None,None,None
10075.pts,68,None,None,None
10076.pts,68,None,None,None
10077.pts,68,None,None,None
10078.pts,68,None,None,None
10079.pts,68,None,None,None
10080.pts,68,None,None,None
10081.pts,68,None,None,None
10082.pts,68,None,None,None
10083.pts,68,None,None,None
10084.pts,68,None,None,None
10085.pts,68,None,None,None
10086.pts,68,None,None,None
10087.pts,68,None,None,None
10088.pts,68,None,None,None
1009.pts,68,None,None,None
10090.pts,68,None,None,None
10091.pts,68,None,None,None
10093.pts,68,None,None,None
10094.pts,68,None,None,None
10095.pts,68,None,None,None
10096.pts,68,None,None,None
10098.pts,68,None,None,None
10099.pts,68,None,None,None
101.pts,68,None,None,None
1010.pts,68,None,None,None
10100.pts,68,None,None,None
10101.pts,68,None,None,None
10102.pts,68,None,None,None
10103.pts,68,None,None,None
10104.pts,68,None,None,None
10105.pts,68,None,None,None
10106.pts,68,None,None,None
10107.pts,68,None,None,None
10108.pts,68,None,None,None
10109.pts,68,None,None,None
1011.pts,68,None,None,None
10110.pts,68,None,None,None
10111.pts,68,None,None,None
10112.pts,68,None,None,None
10113.pts,68,None,None,None
10114.pts,68,None,None,None
10115.pts,68,None,None,None
10116.pts,68,None,None,None
10117.pts,68,None,None,None
10118.pts,68,None,None,None
10119.pts,68,None,None,None
1012.pts,68,None,None,None
10120.pts,68,None,None,None
10121.pts,68,None,None,None
10122.pts,68,None,None,None
10123.pts,68,None,None,None
10124.pts,68,None,None,None
10125.pts,68,None,None,None
10126.pts,68,None,None,None
10127.pts,68,None,None,None
10128.pts,68,None,None,None
10129.pts,68,None,None,None
10130.pts,68,None,None,None
10131.pts,68,None,None,None
10132.pts,68,None,None,None
10133.pts,68,None,None,None
10134.pts,68,None,None,None
10135.pts,68,None,None,None
10136.pts,68,None,None,None
