label,Facelandmark_pts,Head_yaw,Head_pitch,Head_roll
1.pts,68,None,None,None
10.pts,68,None,None,None
100.pts,68,None,None,None
101.pts,68,None,None,None
102.pts,68,None,None,None
103.pts,68,None,None,None
104.pts,68,None,None,None
105.pts,68,None,None,None
106.pts,68,None,None,None
107.pts,68,None,None,None
108.pts,68,None,None,None
109.pts,68,None,None,None
11.pts,68,None,None,None
110.pts,68,None,None,None
111.pts,68,None,None,None
112.pts,68,None,None,None
113.pts,68,None,None,None
114.pts,68,None,None,None
115.pts,68,None,None,None
116.pts,68,None,None,None
117.pts,68,None,None,None
118.pts,68,None,None,None
119.pts,68,None,None,None
12.pts,68,None,None,None
120.pts,68,None,None,None
121.pts,68,None,None,None
122.pts,68,None,None,None
123.pts,68,None,None,None
124.pts,68,None,None,None
125.pts,68,None,None,None
126.pts,68,None,None,None
127.pts,68,None,None,None
128.pts,68,None,None,None
129.pts,68,None,None,None
13.pts,68,None,None,None
130.pts,68,None,None,None
131.pts,68,None,None,None
132.pts,68,None,None,None
133.pts,68,None,None,None
134.pts,68,None,None,None
135.pts,68,None,None,None
136.pts,68,None,None,None
137.pts,68,None,None,None
138.pts,68,None,None,None
139.pts,68,None,None,None
14.pts,68,None,None,None
140.pts,68,None,None,None
141.pts,68,None,None,None
142.pts,68,None,None,None
143.pts,68,None,None,None
144.pts,68,None,None,None
145.pts,68,None,None,None
146.pts,68,None,None,None
147.pts,68,None,None,None
148.pts,68,None,None,None
149.pts,68,None,None,None
15.pts,68,None,None,None
150.pts,68,None,None,None
151.pts,68,None,None,None
152.pts,68,None,None,None
153.pts,68,None,None,None
154.pts,68,None,None,None
155.pts,68,None,None,None
156.pts,68,None,None,None
157.pts,68,None,None,None
158.pts,68,None,None,None
159.pts,68,None,None,None
16.pts,68,None,None,None
160.pts,68,None,None,None
161.pts,68,None,None,None
162.pts,68,None,None,None
163.pts,68,None,None,None
164.pts,68,None,None,None
165.pts,68,None,None,None
166.pts,68,None,None,None
167.pts,68,None,None,None
168.pts,68,None,None,None
169.pts,68,None,None,None
17.pts,68,None,None,None
170.pts,68,None,None,None
171.pts,68,None,None,None
172.pts,68,None,None,None
173.pts,68,None,None,None
174.pts,68,None,None,None
175.pts,68,None,None,None
176.pts,68,None,None,None
177.pts,68,None,None,None
178.pts,68,None,None,None
179.pts,68,None,None,None
18.pts,68,None,None,None
180.pts,68,None,None,None
181.pts,68,None,None,None
182.pts,68,None,None,None
183.pts,68,None,None,None
184.pts,68,None,None,None
185.pts,68,None,None,None
186.pts,68,None,None,None
187.pts,68,None,None,None
188.pts,68,None,None,None
189.pts,68,None,None,None
19.pts,68,None,None,None
190.pts,68,None,None,None
191.pts,68,None,None,None
192.pts,68,None,None,None
193.pts,68,None,None,None
194.pts,68,None,None,None
195.pts,68,None,None,None
196.pts,68,None,None,None
197.pts,68,None,None,None
198.pts,68,None,None,None
199.pts,68,None,None,None
2.pts,68,None,None,None
20.pts,68,None,None,None
200.pts,68,None,None,None
201.pts,68,None,None,None
202.pts,68,None,None,None
203.pts,68,None,None,None
204.pts,68,None,None,None
205.pts,68,None,None,None
206.pts,68,None,None,None
207.pts,68,None,None,None
208.pts,68,None,None,None
209.pts,68,None,None,None
21.pts,68,None,None,None
210.pts,68,None,None,None
211.pts,68,None,None,None
212.pts,68,None,None,None
213.pts,68,None,None,None
214.pts,68,None,None,None
215.pts,68,None,None,None
216.pts,68,None,None,None
217.pts,68,None,None,None
218.pts,68,None,None,None
219.pts,68,None,None,None
22.pts,68,None,None,None
220.pts,68,None,None,None
221.pts,68,None,None,None
222.pts,68,None,None,None
223.pts,68,None,None,None
224.pts,68,None,None,None
225.pts,68,None,None,None
226.pts,68,None,None,None
227.pts,68,None,None,None
228.pts,68,None,None,None
229.pts,68,None,None,None
23.pts,68,None,None,None
230.pts,68,None,None,None
231.pts,68,None,None,None
232.pts,68,None,None,None
233.pts,68,None,None,None
234.pts,68,None,None,None
235.pts,68,None,None,None
236.pts,68,None,None,None
237.pts,68,None,None,None
238.pts,68,None,None,None
239.pts,68,None,None,None
24.pts,68,None,None,None
240.pts,68,None,None,None
241.pts,68,None,None,None
242.pts,68,None,None,None
243.pts,68,None,None,None
244.pts,68,None,None,None
245.pts,68,None,None,None
246.pts,68,None,None,None
247.pts,68,None,None,None
248.pts,68,None,None,None
249.pts,68,None,None,None
25.pts,68,None,None,None
250.pts,68,None,None,None
251.pts,68,None,None,None
252.pts,68,None,None,None
253.pts,68,None,None,None
254.pts,68,None,None,None
255.pts,68,None,None,None
256.pts,68,None,None,None
257.pts,68,None,None,None
258.pts,68,None,None,None
259.pts,68,None,None,None
26.pts,68,None,None,None
260.pts,68,None,None,None
261.pts,68,None,None,None
262.pts,68,None,None,None
263.pts,68,None,None,None
264.pts,68,None,None,None
265.pts,68,None,None,None
266.pts,68,None,None,None
267.pts,68,None,None,None
268.pts,68,None,None,None
269.pts,68,None,None,None
27.pts,68,None,None,None
270.pts,68,None,None,None
271.pts,68,None,None,None
272.pts,68,None,None,None
273.pts,68,None,None,None
274.pts,68,None,None,None
275.pts,68,None,None,None
276.pts,68,None,None,None
277.pts,68,None,None,None
278.pts,68,None,None,None
279.pts,68,None,None,None
28.pts,68,None,None,None
280.pts,68,None,None,None
281.pts,68,None,None,None
282.pts,68,None,None,None
283.pts,68,None,None,None
284.pts,68,None,None,None
285.pts,68,None,None,None
286.pts,68,None,None,None
287.pts,68,None,None,None
288.pts,68,None,None,None
289.pts,68,None,None,None
29.pts,68,None,None,None
290.pts,68,None,None,None
291.pts,68,None,None,None
292.pts,68,None,None,None
293.pts,68,None,None,None
294.pts,68,None,None,None
295.pts,68,None,None,None
296.pts,68,None,None,None
297.pts,68,None,None,None
298.pts,68,None,None,None
299.pts,68,None,None,None
3.pts,68,None,None,None
30.pts,68,None,None,None
300.pts,68,None,None,None
301.pts,68,None,None,None
302.pts,68,None,None,None
303.pts,68,None,None,None
304.pts,68,None,None,None
305.pts,68,None,None,None
306.pts,68,None,None,None
307.pts,68,None,None,None
308.pts,68,None,None,None
309.pts,68,None,None,None
31.pts,68,None,None,None
310.pts,68,None,None,None
311.pts,68,None,None,None
312.pts,68,None,None,None
313.pts,68,None,None,None
314.pts,68,None,None,None
315.pts,68,None,None,None
316.pts,68,None,None,None
317.pts,68,None,None,None
318.pts,68,None,None,None
319.pts,68,None,None,None
32.pts,68,None,None,None
320.pts,68,None,None,None
321.pts,68,None,None,None
322.pts,68,None,None,None
323.pts,68,None,None,None
324.pts,68,None,None,None
325.pts,68,None,None,None
326.pts,68,None,None,None
327.pts,68,None,None,None
328.pts,68,None,None,None
329.pts,68,None,None,None
33.pts,68,None,None,None
330.pts,68,None,None,None
331.pts,68,None,None,None
332.pts,68,None,None,None
333.pts,68,None,None,None
334.pts,68,None,None,None
335.pts,68,None,None,None
336.pts,68,None,None,None
337.pts,68,None,None,None
338.pts,68,None,None,None
339.pts,68,None,None,None
34.pts,68,None,None,None
340.pts,68,None,None,None
341.pts,68,None,None,None
342.pts,68,None,None,None
343.pts,68,None,None,None
344.pts,68,None,None,None
345.pts,68,None,None,None
346.pts,68,None,None,None
347.pts,68,None,None,None
348.pts,68,None,None,None
349.pts,68,None,None,None
35.pts,68,None,None,None
350.pts,68,None,None,None
351.pts,68,None,None,None
352.pts,68,None,None,None
353.pts,68,None,None,None
354.pts,68,None,None,None
355.pts,68,None,None,None
356.pts,68,None,None,None
357.pts,68,None,None,None
358.pts,68,None,None,None
359.pts,68,None,None,None
36.pts,68,None,None,None
360.pts,68,None,None,None
361.pts,68,None,None,None
362.pts,68,None,None,None
363.pts,68,None,None,None
364.pts,68,None,None,None
365.pts,68,None,None,None
366.pts,68,None,None,None
367.pts,68,None,None,None
368.pts,68,None,None,None
369.pts,68,None,None,None
