label,eye_side,iris_size,dpi
02463d453.pts,left,1302.07747872539,96
02463d453.pts,right,1213.5195487500898,96
02463d455.pts,left,1446.4407226727226,96
02463d455.pts,right,1393.4396494556877,96
02463d457.pts,left,1589.1992554915757,96
02463d457.pts,right,1481.7193999536357,96
02463d459.pts,left,1531.51233425429,96
02463d459.pts,right,1404.4400795983033,96
02463d461.pts,left,1156.1177965974823,96
02463d461.pts,right,1175.4733716402652,96
02463d463.pts,left,908.0155978700138,96
02463d463.pts,right,1100.6262471845996,96
02463d465.pts,left,1016.8333790047747,96
02463d465.pts,right,1106.6844480320262,96
02463d467.pts,left,1174.207792820742,96
02463d467.pts,right,1298.9550092080756,96
02463d547.pts,left,1299.7950365261306,96
02463d547.pts,right,1460.9743627955536,96
02463d549.pts,left,2505.450728133,96
02463d549.pts,right,2724.7426937328596,96
02463d551.pts,left,2136.7377231868645,96
02463d551.pts,right,2646.3002088204507,96
02463d553.pts,left,2367.181961352529,96
02463d553.pts,right,2522.63493599905,96
02463d555.pts,left,2446.164099364394,96
02463d555.pts,right,2722.0299043036734,96
02463d557.pts,left,2413.930345313131,96
02463d557.pts,right,2738.958901225328,96
02463d559.pts,left,2381.6781438298167,96
02463d559.pts,right,2398.0680198901596,96
02463d561.pts,left,2267.293139023241,96
02463d561.pts,right,2186.85151532655,96
02463d563.pts,left,2253.4270297434327,96
02463d563.pts,right,3131.520675428319,96
02463d653.pts,left,2257.9388099687285,96
02463d653.pts,right,2212.9804307147915,96
02463d655.pts,left,1712.316728452904,96
02463d655.pts,right,2143.477437059012,96
02463d657.pts,left,1950.0477887640725,96
02463d657.pts,right,2205.699423220945,96
02463d659.pts,left,1814.8535303766587,96
02463d659.pts,right,2690.3369535238567,96
02463d661.pts,left,1930.392497666361,96
02463d661.pts,right,2299.2547287871407,96
02463d663.pts,left,2227.654992212073,96
02463d663.pts,right,2713.461668751748,96
02463d665.pts,left,1971.6039691755436,96
02463d665.pts,right,2304.9009815783547,96
02463d667.pts,left,2034.5607846801986,96
02463d667.pts,right,2186.027855531694,96
02463d669.pts,left,2379.1565138558803,96
02463d669.pts,right,3149.241569246836,96
02463d671.pts,left,2068.3296101755855,96
02463d671.pts,right,2546.8747762072185,96
02463d673.pts,left,2388.59629571409,96
02463d673.pts,right,2522.7426549279585,96
02463d675.pts,left,2281.853787505376,96
02463d675.pts,right,2332.9911843590435,96
04200d75.pts,left,1659.7871094202692,96
04200d75.pts,right,1944.854284067418,96
04201d303.pts,left,1160.6002119199109,96
04201d303.pts,right,1348.6869444259164,96
04201d305.pts,left,856.7801793113106,96
04201d305.pts,right,976.9454605678127,96
04201d307.pts,left,862.0369905905992,96
04201d307.pts,right,974.1642822444816,96
04201d369.pts,left,1745.1878503925127,96
04201d369.pts,right,2478.0387461624578,96
04201d371.pts,left,2209.905293566859,96
04201d371.pts,right,2729.812796931879,96
04201d373.pts,left,2156.213822028401,96
04201d373.pts,right,2763.8290106314457,96
04201d375.pts,left,1916.203188053872,96
04201d375.pts,right,2199.9514330932475,96
04201d377.pts,left,2097.228738419787,96
04201d377.pts,right,2232.049892449749,96
04201d379.pts,left,1958.4899698306522,96
04201d379.pts,right,2149.0220520847643,96
04201d435.pts,left,1673.3589814954667,96
04201d435.pts,right,2085.2768393301994,96
04201d437.pts,left,1504.5788576856087,96
04201d437.pts,right,1807.019332486083,96
04201d439.pts,left,1915.104340625056,96
04201d439.pts,right,2205.248699272002,96
04201d443.pts,left,1917.7281558742343,96
04201d443.pts,right,2444.6944022817247,96
04201d445.pts,left,2174.1591318529304,96
04201d445.pts,right,2160.8031806554163,96
04202d345.pts,left,722.5087397676117,96
