label,Facelandmark_pts,eye_side,eyelid,dpi
1051618982_1.mat,68,left,83.96272272161283,96
1051618982_1.mat,68,right,73.57578332451763,96
111076519_1.mat,68,left,84.715188808317,96
111076519_1.mat,68,right,70.05967165480209,96
111076519_2.mat,68,left,70.94143299711848,96
111076519_2.mat,68,right,55.98660927195932,96
1130084326_1.mat,68,left,63.65038431112455,96
1130084326_1.mat,68,right,54.4457904329647,96
1130084326_2.mat,68,left,79.15727804485672,96
1130084326_2.mat,68,right,72.75263759423002,96
1130084326_3.mat,68,left,80.04148130867067,96
1130084326_3.mat,68,right,70.7748879523989,96
1139324862_1.mat,68,left,66.88123908884327,96
1139324862_1.mat,68,right,56.30296200082517,96
1204062305_1.mat,68,left,74.80412077808106,96
1204062305_1.mat,68,right,69.58196273618918,96
1295311477_1.mat,68,left,69.72670961155399,96
1295311477_1.mat,68,right,63.11062968620506,96
134212_1.mat,68,left,68.07864091301747,96
134212_1.mat,68,right,61.74080997472281,96
134212_2.mat,68,left,75.0500379817756,96
134212_2.mat,68,right,71.46054852662192,96
1372188757_1.mat,68,left,69.62867020608554,96
1372188757_1.mat,68,right,63.0039731467479,96
14424972_1.mat,68,left,55.232261261460664,96
14424972_1.mat,68,right,58.00550981726844,96
156474078_1.mat,68,left,70.06039768426605,96
156474078_1.mat,68,right,66.16786073907627,96
156474078_2.mat,68,left,72.1916618264819,96
156474078_2.mat,68,right,66.74661612134726,96
1587030290_1.mat,68,left,61.5154843270918,96
1587030290_1.mat,68,right,56.055331531469946,96
1602308_1.mat,68,left,75.80687907820973,96
1602308_1.mat,68,right,71.30623837587088,96
1634816_1.mat,68,left,72.34514714342963,96
1634816_1.mat,68,right,72.91441373553488,96
1636651575_1.mat,68,left,63.8808380703188,96
1636651575_1.mat,68,right,59.57713203680017,96
16413031_1.mat,68,left,73.64499660681494,96
16413031_1.mat,68,right,65.31885535705501,96
1648807314_1.mat,68,left,72.57774661127127,96
1648807314_1.mat,68,right,69.4216686047241,96
1648807314_2.mat,68,left,74.20608089900911,96
1648807314_2.mat,68,right,65.73524838067304,96
1648807314_3.mat,68,left,75.91251838445726,96
1648807314_3.mat,68,right,57.994591885062654,96
170817766_1.mat,68,left,78.19100851292819,96
170817766_1.mat,68,right,74.22705971829592,96
170817766_2.mat,68,left,75.63732526880742,96
170817766_2.mat,68,right,60.66164959539296,96
174692320_1.mat,68,left,55.10849645403438,96
174692320_1.mat,68,right,48.61239013801804,96
1814664578_1.mat,68,left,69.38158708204452,96
1814664578_1.mat,68,right,60.606605419146256,96
1814664578_2.mat,68,left,66.55210003251386,96
