label,Facelandmark_pts,eye_side,eyelid,dpi
0.pts,68,left,24.993252339381524,96
0.pts,68,right,22.40371862114759,96
1.pts,68,left,20.10524799509928,96
1.pts,68,right,17.409508277726346,96
10.pts,68,left,29.552708242599735,96
10.pts,68,right,24.397425584247404,96
100.pts,68,left,118.38380688487574,96
100.pts,68,right,109.08211594355065,96
1000.pts,68,left,267.7555716372261,96
1000.pts,68,right,215.22740142282606,96
10000.pts,68,left,297.1478896181158,96
10000.pts,68,right,243.37276174682685,96
10001.pts,68,left,253.95321122693483,96
10001.pts,68,right,204.31540951709658,96
10002.pts,68,left,454.25127477397115,96
10002.pts,68,right,420.6570827509689,96
10003.pts,68,left,44.18441000385645,96
10003.pts,68,right,37.676599584490084,96
10004.pts,68,left,50.41566801903507,96
10004.pts,68,right,43.111889261483846,96
10005.pts,68,left,44.17623478026517,96
10005.pts,68,right,36.40366294451396,96
10006.pts,68,left,27.830206343807237,96
10006.pts,68,right,22.67581055331871,96
10007.pts,68,left,41.62191732896129,96
10007.pts,68,right,37.30978020610384,96
10008.pts,68,left,39.99422651701672,96
10008.pts,68,right,36.66667923181603,96
10009.pts,68,left,48.25584586837352,96
10009.pts,68,right,41.66457994941401,96
1001.pts,68,left,68.88601440241699,96
1001.pts,68,right,67.47452680600617,96
10010.pts,68,left,30.734261494480567,96
10010.pts,68,right,27.723851372860242,96
10011.pts,68,left,56.362731242471845,96
10011.pts,68,right,44.09836807417655,96
10012.pts,68,left,51.06442817684121,96
10012.pts,68,right,41.27571918244161,96
10013.pts,68,left,50.75112034477662,96
10013.pts,68,right,46.33193707518487,96
10014.pts,68,left,57.05736942299584,96
10014.pts,68,right,50.058555954501934,96
10015.pts,68,left,49.40135693705409,96
10015.pts,68,right,40.089795399064954,96
10016.pts,68,left,106.47162788508496,96
10016.pts,68,right,89.77521490583511,96
10017.pts,68,left,42.0135823993596,96
10017.pts,68,right,36.09807729605865,96
10018.pts,68,left,47.76219181557498,96
10018.pts,68,right,38.04197277167828,96
10019.pts,68,left,59.36314976013695,96
10019.pts,68,right,48.76297152781218,96
10020.pts,68,left,64.11330139877373,96
10020.pts,68,right,55.33777405875465,96
10021.pts,68,left,61.8201698823109,96
10021.pts,68,right,51.38123588134531,96
10022.pts,68,left,52.40670542868429,96
10022.pts,68,right,43.144537780323695,96
10023.pts,68,left,59.163411563275744,96
10023.pts,68,right,51.24255403931599,96
10024.pts,68,left,68.6305660835203,96
10024.pts,68,right,55.497851517223374,96
10025.pts,68,left,94.67112029488662,96
10025.pts,68,right,81.95035116001638,96
10026.pts,68,left,81.53466527155456,96
10026.pts,68,right,70.97174647742267,96
10027.pts,68,left,43.03041545749288,96
10027.pts,68,right,39.180623120860254,96
10028.pts,68,left,88.20775272679333,96
10028.pts,68,right,71.03084660515069,96
10029.pts,68,left,29.68297495806495,96
10029.pts,68,right,24.830856951471578,96
1003.pts,68,left,320.65671792627387,96
1003.pts,68,right,282.83116616224333,96
10030.pts,68,left,40.6092265220876,96
10030.pts,68,right,33.59651481470131,96
10031.pts,68,left,45.7224455531538,96
10031.pts,68,right,38.33698111991722,96
10032.pts,68,left,68.8955682194274,96
10032.pts,68,right,66.13044351969151,96
10033.pts,68,left,61.85073768535204,96
10033.pts,68,right,58.38743083085416,96
10034.pts,68,left,55.88447376110427,96
10034.pts,68,right,51.4435890307151,96
10035.pts,68,left,35.49621082203314,96
10035.pts,68,right,30.95381639950794,96
10036.pts,68,left,50.8800500908755,96
10036.pts,68,right,40.61291478225998,96
10037.pts,68,left,24.585489917270763,96
10037.pts,68,right,21.4621187321341,96
10038.pts,68,left,44.536727383450376,96
10038.pts,68,right,35.97576931615066,96
10039.pts,68,left,34.210005758955646,96
10039.pts,68,right,27.21744104072893,96
1004.pts,68,left,492.70005866613286,96
1004.pts,68,right,477.3735101215588,96
10040.pts,68,left,127.5394523476516,96
10040.pts,68,right,104.72600156943942,96
10041.pts,68,left,107.70302352675881,96
10041.pts,68,right,87.04232103807003,96
10042.pts,68,left,109.33502271370119,96
10042.pts,68,right,86.22731755108441,96
10043.pts,68,left,177.75421178984143,96
10043.pts,68,right,146.90361690814302,96
10044.pts,68,left,177.65515034110953,96
10044.pts,68,right,149.73498957537893,96
10045.pts,68,left,173.08857246323666,96
10045.pts,68,right,154.82728956530522,96
10046.pts,68,left,44.835329243366914,96
10046.pts,68,right,36.892836516727755,96
10047.pts,68,left,93.86009873446991,96
10047.pts,68,right,82.14251743582275,96
10048.pts,68,left,39.31646197558701,96
10048.pts,68,right,34.57924792013588,96
10049.pts,68,left,728.9563562699491,96
10049.pts,68,right,663.267720004734,96
1005.pts,68,left,131.1000380341499,96
1005.pts,68,right,110.69265161824325,96
10050.pts,68,left,86.63731359459901,96
10050.pts,68,right,72.77631547438891,96
10051.pts,68,left,194.1428340802062,96
10051.pts,68,right,177.86005550377394,96
10052.pts,68,left,143.26868235950164,96
10052.pts,68,right,133.84873343369952,96
10053.pts,68,left,724.8266375877787,96
10053.pts,68,right,621.1165103790695,96
10054.pts,68,left,821.8678990338782,96
10054.pts,68,right,697.3385636941551,96
10055.pts,68,left,43.18548187534271,96
10055.pts,68,right,32.65450622510707,96
10056.pts,68,left,305.1742524003931,96
10056.pts,68,right,245.44074484271056,96
10057.pts,68,left,104.40095724044978,96
10057.pts,68,right,93.7627422430917,96
10058.pts,68,left,54.037010887857654,96
10058.pts,68,right,47.937120921867844,96
10059.pts,68,left,57.13065519053671,96
10059.pts,68,right,47.08973406935129,96
1006.pts,68,left,251.40438941849993,96
1006.pts,68,right,245.51459690051465,96
10060.pts,68,left,23.48652384288111,96
10060.pts,68,right,18.912237423454453,96
10061.pts,68,left,56.71172160340597,96
10061.pts,68,right,47.84293099095785,96
10062.pts,68,left,242.4937490186315,96
10062.pts,68,right,237.9407416582727,96
10063.pts,68,left,223.20924536563084,96
10063.pts,68,right,182.84016308924035,96
10064.pts,68,left,95.41732872434069,96
10064.pts,68,right,80.39377676388335,96
10065.pts,68,left,87.99075289199433,96
10065.pts,68,right,74.73012489117087,96
10066.pts,68,left,63.484128092076006,96
10066.pts,68,right,51.282348507768475,96
10067.pts,68,left,99.29687856904445,96
10067.pts,68,right,84.12119122317254,96
10068.pts,68,left,460.79302783124757,96
10068.pts,68,right,464.50295066447114,96
10069.pts,68,left,92.5219561488575,96
10069.pts,68,right,80.01516764981358,96
1007.pts,68,left,111.03840943027579,96
1007.pts,68,right,94.87888605026346,96
10070.pts,68,left,43.37365359549761,96
10070.pts,68,right,35.63041545661672,96
10071.pts,68,left,92.03411163696619,96
10071.pts,68,right,82.40289552794178,96
10072.pts,68,left,130.53432190477295,96
10072.pts,68,right,109.26925912574355,96
10073.pts,68,left,54.1570993419966,96
10073.pts,68,right,46.62332293439029,96
10074.pts,68,left,47.934791876279434,96
10074.pts,68,right,39.67387853837558,96
10075.pts,68,left,20.124327026705213,96
10075.pts,68,right,15.588490002420235,96
10076.pts,68,left,120.35502919949425,96
10076.pts,68,right,98.92695640330908,96
10077.pts,68,left,182.5715520717532,96
10077.pts,68,right,145.51598501730163,96
10078.pts,68,left,16.642076801823066,96
10078.pts,68,right,14.164267499788181,96
10079.pts,68,left,40.093927732610304,96
10079.pts,68,right,35.80406354110599,96
10080.pts,68,left,87.23852387691011,96
10080.pts,68,right,74.96801863090985,96
10081.pts,68,left,26.70107254660173,96
10081.pts,68,right,24.33640421547293,96
10082.pts,68,left,61.584255837249366,96
10082.pts,68,right,51.98453028572804,96
10083.pts,68,left,20.106605570198962,96
10083.pts,68,right,16.932970607991706,96
10084.pts,68,left,78.40426944617803,96
10084.pts,68,right,70.80135375078959,96
10085.pts,68,left,156.87174966947072,96
10085.pts,68,right,142.27129262873095,96
10086.pts,68,left,166.96912545246536,96
10086.pts,68,right,141.35707207527483,96
10087.pts,68,left,383.6358149273141,96
10087.pts,68,right,310.727671186523,96
10088.pts,68,left,47.82616447353895,96
10088.pts,68,right,40.61843473446235,96
1009.pts,68,left,30.531749205631083,96
1009.pts,68,right,24.294062761185977,96
10090.pts,68,left,45.41251871486295,96
10090.pts,68,right,40.90299416913142,96
10091.pts,68,left,56.78638891812991,96
10091.pts,68,right,53.191353702666966,96
10093.pts,68,left,43.1023199185509,96
10093.pts,68,right,37.54321799421451,96
10094.pts,68,left,25.668387219388062,96
10094.pts,68,right,23.724213575538762,96
10095.pts,68,left,68.42766756583192,96
10095.pts,68,right,55.16967447817487,96
10096.pts,68,left,53.17730503727864,96
10096.pts,68,right,46.359893622553145,96
10098.pts,68,left,283.51599607728383,96
10098.pts,68,right,256.9744040961192,96
10099.pts,68,left,286.417065322824,96
10099.pts,68,right,243.67027051171007,96
101.pts,68,left,27.489614868366417,96
101.pts,68,right,26.38752709562269,96
1010.pts,68,left,53.07260242687477,96
1010.pts,68,right,45.82262369179662,96
10100.pts,68,left,274.3597492495026,96
10100.pts,68,right,271.1677587399645,96
