label,Facelandmark_pts,eye_side,eyelid,dpi
image00002.mat,68,left,101.64140319824219,96
image00002.mat,68,right,90.36949157714844,96
image00004.mat,68,left,30.350465774536133,96
image00004.mat,68,right,23.347957611083984,96
image00006.mat,68,left,41.49843215942383,96
image00006.mat,68,right,36.975563049316406,96
image00008.mat,68,left,78.87733459472656,96
image00008.mat,68,right,71.59087371826172,96
image00010.mat,68,left,16.88113784790039,96
image00010.mat,68,right,11.830482482910156,96
image00013.mat,68,left,84.19145202636719,96
image00013.mat,68,right,76.26051330566406,96
image00014.mat,68,left,83.78202056884766,96
image00014.mat,68,right,75.22582244873047,96
image00019.mat,68,left,80.13970947265625,96
image00019.mat,68,right,72.99501037597656,96
image00020.mat,68,left,70.6393814086914,96
image00020.mat,68,right,65.21271514892578,96
image00021.mat,68,left,74.18889617919922,96
image00021.mat,68,right,68.43820190429688,96
image00022.mat,68,left,25.400930404663086,96
image00022.mat,68,right,19.842060089111328,96
image00023.mat,68,left,73.61993408203125,96
image00023.mat,68,right,66.63868713378906,96
image00026.mat,68,left,69.4532470703125,96
image00026.mat,68,right,61.51628875732422,96
image00028.mat,68,left,85.37364196777344,96
image00028.mat,68,right,76.02198028564453,96
image00032.mat,68,left,10.593236923217773,96
image00032.mat,68,right,14.82718276977539,96
image00035.mat,68,left,62.599815368652344,96
image00035.mat,68,right,61.16481399536133,96
image00036.mat,68,left,30.59987449645996,96
image00036.mat,68,right,32.349456787109375,96
image00039.mat,68,left,88.99388885498047,96
image00039.mat,68,right,81.96257019042969,96
image00040.mat,68,left,100.00267028808594,96
image00040.mat,68,right,90.55038452148438,96
image00041.mat,68,left,82.52977752685547,96
image00041.mat,68,right,77.09536743164062,96
image00042.mat,68,left,94.6930160522461,96
image00042.mat,68,right,86.11823272705078,96
image00043.mat,68,left,93.10987854003906,96
image00043.mat,68,right,85.87333679199219,96
image00044.mat,68,left,93.8746566772461,96
image00044.mat,68,right,85.57766723632812,96
image00045.mat,68,left,84.47624206542969,96
image00045.mat,68,right,77.63067626953125,96
image00046.mat,68,left,77.57511138916016,96
image00046.mat,68,right,72.19941711425781,96
image00047.mat,68,left,93.88265228271484,96
image00047.mat,68,right,89.06027221679688,96
image00048.mat,68,left,102.14706420898438,96
image00048.mat,68,right,92.15370178222656,96
image00049.mat,68,left,96.71575164794922,96
image00049.mat,68,right,88.55661010742188,96
image00050.mat,68,left,92.32343292236328,96
image00050.mat,68,right,82.41129302978516,96
image00051.mat,68,left,87.51983642578125,96
image00051.mat,68,right,77.21768188476562,96
image00052.mat,68,left,93.39347076416016,96
image00052.mat,68,right,86.3980941772461,96
image00053.mat,68,left,93.92755126953125,96
image00053.mat,68,right,87.6801986694336,96
image00054.mat,68,left,91.38601684570312,96
image00054.mat,68,right,84.19671630859375,96
image00055.mat,68,left,96.90824890136719,96
image00055.mat,68,right,88.83261108398438,96
image00056.mat,68,left,94.98606872558594,96
image00056.mat,68,right,84.63878631591797,96
image00057.mat,68,left,85.20291900634766,96
image00057.mat,68,right,75.5184097290039,96
image00058.mat,68,left,96.74252319335938,96
image00058.mat,68,right,83.94808959960938,96
image00059.mat,68,left,96.42039489746094,96
image00059.mat,68,right,87.3546371459961,96
image00060.mat,68,left,96.08824920654297,96
image00060.mat,68,right,87.5346450805664,96
image00061.mat,68,left,91.75545501708984,96
image00061.mat,68,right,84.8607406616211,96
image00062.mat,68,left,91.45536804199219,96
image00062.mat,68,right,86.22193908691406,96
image00063.mat,68,left,98.05880737304688,96
image00063.mat,68,right,90.11920928955078,96
image00064.mat,68,left,87.15545654296875,96
image00064.mat,68,right,80.47701263427734,96
image00065.mat,68,left,96.16050720214844,96
image00065.mat,68,right,89.0821533203125,96
image00066.mat,68,left,89.6378173828125,96
image00066.mat,68,right,82.38871765136719,96
image00067.mat,68,left,74.29103088378906,96
image00067.mat,68,right,69.95033264160156,96
image00070.mat,68,left,83.54029846191406,96
image00070.mat,68,right,74.04601287841797,96
image00072.mat,68,left,100.226806640625,96
image00072.mat,68,right,84.31832885742188,96
image00074.mat,68,left,32.054561614990234,96
image00074.mat,68,right,31.04644775390625,96
image00075.mat,68,left,77.36133575439453,96
image00075.mat,68,right,74.150634765625,96
image00076.mat,68,left,72.42832946777344,96
image00076.mat,68,right,67.82792663574219,96
image00077.mat,68,left,18.989397048950195,96
image00077.mat,68,right,10.58233642578125,96
image00078.mat,68,left,53.009822845458984,96
image00078.mat,68,right,46.08457565307617,96
image00079.mat,68,left,107.86953735351562,96
image00079.mat,68,right,96.78498840332031,96
