label,Facelandmark_pts,eye_side,eyelid,dpi
02463d453.pts,68,left,89.51621976460163,96
02463d453.pts,68,right,87.15780346047941,96
02463d455.pts,68,left,94.82457572407057,96
02463d455.pts,68,right,87.72501245305635,96
02463d457.pts,68,left,98.47701101399251,96
02463d457.pts,68,right,88.73289452636924,96
02463d459.pts,68,left,97.59647566567716,96
02463d459.pts,68,right,86.55673921063445,96
02463d461.pts,68,left,85.15200190280648,96
02463d461.pts,68,right,78.34098958275645,96
02463d463.pts,68,left,85.93479960686604,96
02463d463.pts,68,right,77.89540060395092,96
02463d465.pts,68,left,85.16730412188056,96
02463d465.pts,68,right,76.87402368178593,96
02463d467.pts,68,left,87.7969698953532,96
02463d467.pts,68,right,80.2247916179213,96
02463d547.pts,68,left,101.17473639561518,96
02463d547.pts,68,right,89.63462193337399,96
02463d549.pts,68,left,128.26195786250193,96
02463d549.pts,68,right,110.25066515609375,96
02463d551.pts,68,left,124.4119543806204,96
02463d551.pts,68,right,102.70692427836705,96
02463d553.pts,68,left,130.97265536914358,96
02463d553.pts,68,right,112.69792831392243,96
02463d555.pts,68,left,124.63027135681047,96
02463d555.pts,68,right,109.3296527886597,96
02463d557.pts,68,left,125.13776819580802,96
02463d557.pts,68,right,108.63618712140887,96
02463d559.pts,68,left,122.42600370892985,96
02463d559.pts,68,right,103.06626480516742,96
02463d561.pts,68,left,125.20744283044394,96
02463d561.pts,68,right,107.91809899590012,96
02463d563.pts,68,left,132.03450613265625,96
02463d563.pts,68,right,117.38954548378186,96
02463d653.pts,68,left,123.61790494784502,96
02463d653.pts,68,right,106.80790166631454,96
02463d655.pts,68,left,126.04250521429047,96
02463d655.pts,68,right,107.61986484148738,96
02463d657.pts,68,left,128.36463534811898,96
02463d657.pts,68,right,109.66991357617441,96
02463d659.pts,68,left,124.37157879158376,96
02463d659.pts,68,right,111.4900203382696,96
02463d661.pts,68,left,122.05340355090931,96
02463d661.pts,68,right,106.4067321316863,96
02463d663.pts,68,left,122.74701923660808,96
02463d663.pts,68,right,105.47528688446936,96
02463d665.pts,68,left,122.29188032383385,96
02463d665.pts,68,right,104.36395491952403,96
02463d667.pts,68,left,118.12789156402108,96
02463d667.pts,68,right,104.9957241495788,96
02463d669.pts,68,left,135.36247939842448,96
02463d669.pts,68,right,118.7573250406288,96
02463d671.pts,68,left,124.95757542817833,96
02463d671.pts,68,right,110.7029817576192,96
02463d673.pts,68,left,126.5660727545103,96
02463d673.pts,68,right,106.05682307821806,96
02463d675.pts,68,left,125.45603856342579,96
02463d675.pts,68,right,103.24538202492265,96
04200d75.pts,68,left,99.29936616125899,96
04200d75.pts,68,right,96.52930282676977,96
04201d303.pts,68,left,83.46111934457862,96
04201d303.pts,68,right,80.27355130029513,96
04201d305.pts,68,left,74.06664152789853,96
04201d305.pts,68,right,72.07262021237868,96
04201d307.pts,68,left,74.89232040477255,96
04201d307.pts,68,right,71.06743953945748,96
04201d369.pts,68,left,109.24922936849994,96
04201d369.pts,68,right,98.42259637583794,96
04201d371.pts,68,left,117.23599076601384,96
04201d371.pts,68,right,104.25074026968721,96
04201d373.pts,68,left,113.65988213439938,96
04201d373.pts,68,right,102.92569842070004,96
04201d375.pts,68,left,113.44323546516804,96
04201d375.pts,68,right,103.61011697558517,96
04201d377.pts,68,left,107.12027140153671,96
04201d377.pts,68,right,95.42791044567511,96
04201d379.pts,68,left,105.86503003943281,96
04201d379.pts,68,right,91.92453240400215,96
04201d435.pts,68,left,104.3533896680996,96
04201d435.pts,68,right,94.62515789286697,96
04201d437.pts,68,left,99.44334625861656,96
04201d437.pts,68,right,85.76400718314824,96
04201d439.pts,68,left,108.95117687090651,96
04201d439.pts,68,right,98.2796889565128,96
04201d443.pts,68,left,112.37585658615566,96
04201d443.pts,68,right,100.79248461759882,96
04201d445.pts,68,left,107.93440378059358,96
04201d445.pts,68,right,99.89709639104193,96
04202d345.pts,68,left,81.45441301495649,96
04202d345.pts,68,right,71.32565491150822,96
04202d347.pts,68,left,87.19866711933669,96
04202d347.pts,68,right,73.65507522699605,96
04202d349.pts,68,left,90.74960539277538,96
04202d349.pts,68,right,77.46857777978258,96
04202d351.pts,68,left,76.18359439793382,96
04202d351.pts,68,right,66.26311786817091,96
04202d353.pts,68,left,79.60606782637728,96
04202d353.pts,68,right,65.99787179670604,96
04202d355.pts,68,left,77.53637605272051,96
04202d355.pts,68,right,65.72432422796163,96
04202d357.pts,68,left,79.94579000311538,96
04202d357.pts,68,right,66.4729478810741,96
04202d359.pts,68,left,79.64579390530024,96
04202d359.pts,68,right,66.2351852794268,96
04202d439.pts,68,left,90.55285966234185,96
04202d439.pts,68,right,73.59397263231241,96
04202d441.pts,68,left,113.03108263093932,96
04202d441.pts,68,right,95.15859402801662,96
