label,eye_side,iris_size,dpi
1051618982_1.mat,left,929.6295930605228,96
1051618982_1.mat,right,1054.6620451238796,96
111076519_1.mat,left,813.9176871483879,96
111076519_1.mat,right,795.7389617950164,96
111076519_2.mat,left,1114.620895571795,96
111076519_2.mat,right,869.3803225414475,96
1130084326_1.mat,left,383.79834763537457,96
1130084326_1.mat,right,574.2566631334556,96
1130084326_2.mat,left,1124.46671560602,96
1130084326_2.mat,right,752.0470750694487,96
1130084326_3.mat,left,963.072623531745,96
1130084326_3.mat,right,1119.2395951651354,96
1139324862_1.mat,left,543.9246399164582,96
1139324862_1.mat,right,821.0406727835733,96
1204062305_1.mat,left,647.6559198227109,96
1204062305_1.mat,right,777.2151167683502,96
1295311477_1.mat,left,755.4232578087099,96
1295311477_1.mat,right,849.2159519802964,96
134212_1.mat,left,603.6414237933842,96
134212_1.mat,right,911.3969457468148,96
134212_2.mat,left,873.3798332328766,96
134212_2.mat,right,655.7080529901439,96
1372188757_1.mat,left,816.3768577253642,96
1372188757_1.mat,right,667.5600743700775,96
14424972_1.mat,left,431.00862361388175,96
14424972_1.mat,right,291.06305566962465,96
156474078_1.mat,left,635.6093687503405,96
156474078_1.mat,right,477.5948277671163,96
156474078_2.mat,left,1079.1965695019471,96
156474078_2.mat,right,796.334531536775,96
1587030290_1.mat,left,432.0706433074336,96
1587030290_1.mat,right,1110.2170649545108,96
1602308_1.mat,left,918.5143077944625,96
1602308_1.mat,right,809.5058501724202,96
1634816_1.mat,left,748.375072165864,96
1634816_1.mat,right,1015.9056099889183,96
1636651575_1.mat,left,613.0764733351293,96
1636651575_1.mat,right,1160.0922919767368,96
16413031_1.mat,left,1085.452401370253,96
16413031_1.mat,right,1087.194264560379,96
1648807314_1.mat,left,702.6005046439369,96
1648807314_1.mat,right,1079.0792357768512,96
1648807314_2.mat,left,699.7753774523969,96
1648807314_2.mat,right,770.2390561563398,96
1648807314_3.mat,left,523.5227940555912,96
1648807314_3.mat,right,863.937859781505,96
170817766_1.mat,left,598.5177527352865,96
170817766_1.mat,right,530.0364112424093,96
170817766_2.mat,left,792.2738474230881,96
170817766_2.mat,right,683.0997091718436,96
174692320_1.mat,left,216.35070903194637,96
