label,eye_side,iris_size,dpi
0.pts,left,32.67969937598068,96
0.pts,right,25.78888030771302,96
1.pts,left,33.77471188009849,96
1.pts,right,22.408145519808205,96
10.pts,left,114.57374977333339,96
10.pts,right,65.69072926463332,96
100.pts,left,2715.0267384787257,96
100.pts,right,2090.719578963901,96
1000.pts,left,14981.82840062423,96
1000.pts,right,9110.811401489149,96
10000.pts,left,8352.220823712374,96
10000.pts,right,15312.343389789805,96
10001.pts,left,7827.078979571316,96
10001.pts,right,10560.93665017398,96
10002.pts,left,28693.750503466297,96
10002.pts,right,31914.285098651795,96
10003.pts,left,289.509466857197,96
10003.pts,right,324.19675738522244,96
10004.pts,left,286.96945542464846,96
10004.pts,right,367.41021657962483,96
10005.pts,left,313.6138298091786,96
10005.pts,right,302.6556517315657,96
10006.pts,left,117.71830843945422,96
10006.pts,right,164.91356711260985,96
10007.pts,left,240.86085933867102,96
10007.pts,right,258.43043154023445,96
10008.pts,left,257.13911897535104,96
10008.pts,right,224.4024748291329,96
10009.pts,left,265.0029412119812,96
10009.pts,right,345.71708585406856,96
1001.pts,left,1394.401917191094,96
1001.pts,right,603.3341212699069,96
10010.pts,left,145.23553742906986,96
10010.pts,right,149.23054110901373,96
10011.pts,left,532.3411167315719,96
10011.pts,right,480.1851501770374,96
10012.pts,left,504.13984015008714,96
10012.pts,right,447.0476406408163,96
10013.pts,left,432.24488601896473,96
10013.pts,right,342.78125905444114,96
10014.pts,left,629.0493312298966,96
10014.pts,right,574.0018238601785,96
10015.pts,left,527.9012764473155,96
10015.pts,right,482.30407605660406,96
10016.pts,left,1727.1962865502871,96
10016.pts,right,2417.8069305849817,96
10017.pts,left,333.56627883273984,96
10017.pts,right,324.2785058148612,96
10018.pts,left,278.5123229077699,96
10018.pts,right,586.134701986767,96
10019.pts,left,626.5179339571364,96
10019.pts,right,596.330821840005,96
10020.pts,left,709.1910935729912,96
10020.pts,right,769.3448753050848,96
10021.pts,left,687.5397019601659,96
10021.pts,right,827.9891713344774,96
10022.pts,left,679.7429631986653,96
10022.pts,right,544.1160642186842,96
10023.pts,left,916.0068400503505,96
10023.pts,right,630.2326354902809,96
10024.pts,left,703.0557076337955,96
