label,eye_side,iris_size,dpi
001_01_01_041_14.pts,left,560.9226221917742,120
001_01_01_041_14.pts,right,257.9969266606264,120
001_01_01_190_03.pts,left,518.1780176011229,120
001_01_01_190_03.pts,right,122.98216919085891,120
001_01_02_080_02.pts,left,169.33155857989098,120
001_01_02_080_02.pts,right,547.2513007322051,120
001_01_02_090_09.pts,left,88.42504357311651,120
001_01_02_090_09.pts,right,412.6561294903315,120
001_01_02_140_16.pts,left,660.7343947795678,120
001_01_02_140_16.pts,right,655.103699591519,120
001_01_02_200_11.pts,left,370.0865479133289,120
001_01_02_200_11.pts,right,39.61684908190695,120
001_02_01_050_07.pts,left,875.5426547350839,120
001_02_01_050_07.pts,right,822.0057031294356,120
001_02_01_050_18.pts,left,605.0311806489123,120
001_02_01_050_18.pts,right,463.2900634319693,120
001_02_01_200_10.pts,left,395.8826757007632,120
001_02_01_200_10.pts,right,56.964391666139065,120
001_02_02_051_19.pts,left,802.3943822860934,120
001_02_02_051_19.pts,right,702.1473857566446,120
001_02_02_080_06.pts,left,188.63879603090314,120
001_02_02_080_06.pts,right,487.00308359761294,120
001_02_02_200_11.pts,left,372.2092625536339,120
001_02_02_200_11.pts,right,34.6651191742057,120
001_02_03_050_16.pts,left,1004.6162979920283,120
001_02_03_050_16.pts,right,564.0545335039991,120
001_02_03_051_04.pts,left,515.7638114209198,120
001_02_03_051_04.pts,right,431.82481912739763,120
001_02_03_190_05.pts,left,479.60238639786365,120
001_02_03_190_05.pts,right,85.34216903155091,120
001_03_01_041_00.pts,left,636.4636336202295,120
001_03_01_041_00.pts,right,258.1312447563993,120
001_03_01_130_08.pts,left,427.82769530874197,120
001_03_01_130_08.pts,right,676.3680485602137,120
001_03_01_200_00.pts,left,502.8047040257554,120
001_03_01_200_00.pts,right,79.5629290453953,120
001_03_02_041_14.pts,left,710.8819713448555,120
001_03_02_041_14.pts,right,537.9654942640614,120
001_03_02_051_05.pts,left,660.5126877863478,120
001_03_02_051_05.pts,right,569.853467000043,120
001_03_02_090_11.pts,left,45.72194579186848,120
001_03_02_090_11.pts,right,439.4324101874047,120
001_03_02_200_01.pts,left,324.2283563967966,120
001_03_02_200_01.pts,right,97.24703385400105,120
001_03_03_041_14.pts,left,641.8909684543629,120
001_03_03_041_14.pts,right,276.47594988009604,120
001_03_03_080_03.pts,left,115.27202494019615,120
001_03_03_080_03.pts,right,674.4454928163874,120
001_03_03_090_08.pts,left,65.4774582330864,120
001_03_03_090_08.pts,right,376.97748269692494,120
001_03_03_190_12.pts,left,598.4692997705097,120
001_03_03_190_12.pts,right,70.99998533174629,120
002_01_01_051_09.pts,left,812.5395503934149,120
002_01_01_051_09.pts,right,877.1970967516821,120
002_01_01_090_11.pts,left,75.19934010176462,120
002_01_01_090_11.pts,right,531.511449513424,120
