label,eye_side,iris_size,dpi
1.pts,left,526.5038936788017,96
1.pts,right,493.45914734512775,96
10.pts,left,467.8736498188176,96
10.pts,right,729.6000688925982,96
100.pts,left,456.16505695733304,96
100.pts,right,445.16152117585443,96
101.pts,left,485.88069281165275,96
101.pts,right,819.9912216792968,96
102.pts,left,532.2421823065883,96
102.pts,right,550.833465714411,96
103.pts,left,500.56541291058994,96
103.pts,right,583.2397497510245,96
104.pts,left,494.52458847392705,96
104.pts,right,475.98312191167804,96
105.pts,left,575.7573899045719,96
105.pts,right,555.8529338575136,96
106.pts,left,472.04138733856684,96
106.pts,right,409.4077753081958,96
107.pts,left,525.5630955003298,96
107.pts,right,522.5263239182241,96
108.pts,left,342.9944072148078,96
108.pts,right,410.6836570680981,96
109.pts,left,506.95457696614017,96
109.pts,right,500.97361915542166,96
11.pts,left,428.0614445502041,96
11.pts,right,623.9503434426156,96
110.pts,left,367.87572355460105,96
110.pts,right,379.23533259616164,96
111.pts,left,199.31671576948295,96
111.pts,right,165.82888671286184,96
112.pts,left,511.6318337776837,96
112.pts,right,528.2985201045755,96
113.pts,left,619.1513511374793,96
113.pts,right,586.1549101069762,96
114.pts,left,540.2402060509955,96
114.pts,right,531.9811418752136,96
115.pts,left,380.09705278601706,96
115.pts,right,376.628353578344,96
116.pts,left,384.85485296460945,96
116.pts,right,356.8953545754788,96
117.pts,left,685.2123467669355,96
117.pts,right,332.39380154783527,96
118.pts,left,491.7607479023234,96
118.pts,right,460.11280192078755,96
119.pts,left,483.9226564439916,96
119.pts,right,480.38054109580065,96
12.pts,left,502.5974940863629,96
12.pts,right,469.0088839591452,96
120.pts,left,613.1094192021437,96
120.pts,right,599.7202320487536,96
121.pts,left,442.2440787146387,96
121.pts,right,464.279530378429,96
122.pts,left,479.27000205538735,96
122.pts,right,544.2786054229289,96
123.pts,left,601.5724568705799,96
123.pts,right,344.2410706795002,96
124.pts,left,496.41052607558646,96
124.pts,right,560.1751043053981,96
125.pts,left,509.1903705287515,96
125.pts,right,457.16536868163547,96
126.pts,left,521.1039073686536,96
126.pts,right,459.8803331401383,96
127.pts,left,376.0724920424567,96
127.pts,right,462.12534177939375,96
128.pts,left,468.41396963404543,96
128.pts,right,510.9347214364321,96
129.pts,left,309.3083211469975,96
129.pts,right,346.4812150861335,96
13.pts,left,525.1838770799754,96
13.pts,right,404.843253065504,96
130.pts,left,516.369527763293,96
130.pts,right,470.6841866745542,96
131.pts,left,479.0089241866987,96
131.pts,right,597.8199520294359,96
132.pts,left,537.3777817783207,96
132.pts,right,501.30844311912506,96
133.pts,left,364.5746912341166,96
133.pts,right,466.26829152224207,96
134.pts,left,311.25214477495973,96
134.pts,right,400.0598140874635,96
135.pts,left,590.0470166791358,96
135.pts,right,539.8749776663262,96
136.pts,left,430.3212696385505,96
136.pts,right,395.41297627039353,96
137.pts,left,568.231498055914,96
137.pts,right,521.052506462252,96
138.pts,left,252.06704879025776,96
138.pts,right,334.46942188166804,96
139.pts,left,296.2681857068394,96
139.pts,right,353.54648592179166,96
14.pts,left,387.26129208057506,96
14.pts,right,462.6899043052029,96
140.pts,left,614.9382406422308,96
140.pts,right,470.7485101732769,96
141.pts,left,563.6866900052519,96
141.pts,right,309.4318289351829,96
142.pts,left,510.63924976043876,96
142.pts,right,492.1023825771056,96
143.pts,left,417.99812226189533,96
143.pts,right,361.49707842391393,96
144.pts,left,481.0797542026017,96
144.pts,right,337.80482418570784,96
145.pts,left,526.5665069293867,96
145.pts,right,485.9361398275897,96
146.pts,left,512.670264714576,96
146.pts,right,303.111091472881,96
147.pts,left,436.356224096603,96
147.pts,right,333.3603624441298,96
148.pts,left,392.8995908827792,96
148.pts,right,364.903826209856,96
149.pts,left,307.60075523496215,96
