label,eye_side,iris_size,dpi
016_220325_1753_5_5_4.pts,left,1277.7555453850441,96
016_220325_1753_5_5_4.pts,right,1174.3447872043894,96
016_220325_1753_5_5_5.pts,left,2501.2557856426088,96
016_220325_1753_5_5_5.pts,right,1712.1348349506407,96
016_220325_1753_5_5_6.pts,left,1084.9193523199558,96
016_220325_1753_5_5_6.pts,right,1084.9839295022814,96
016_220325_1753_5_5_7.pts,left,1453.245783679203,96
016_220325_1753_5_5_7.pts,right,919.343456841768,96
016_220325_1753_5_5_8.pts,left,1307.7900438179902,96
016_220325_1753_5_5_8.pts,right,1968.2959366012287,96
016_220325_1756_4_0_1.pts,left,1596.9143063863453,96
016_220325_1756_4_0_1.pts,right,1681.9127136231086,96
016_220327_1439_5_5_3.pts,left,2106.065246436668,96
016_220327_1439_5_5_3.pts,right,3002.075396508514,96
016_220327_1705_5_5_2.pts,left,802.0311511689573,96
016_220327_1705_5_5_2.pts,right,2376.9857249067263,96
016_220327_1705_5_5_3.pts,left,2513.1632944643275,96
016_220327_1705_5_5_3.pts,right,2845.881518424404,96
016_220327_1707_4_0_3.pts,left,1090.643159601858,96
016_220327_1707_4_0_3.pts,right,2439.234638008362,96
016_220327_1709_1_0_1.pts,left,6949.956931977484,96
016_220327_1709_1_0_1.pts,right,3659.5540157041496,96
016_220327_1709_1_0_10.pts,left,5463.9644082077075,96
016_220327_1709_1_0_10.pts,right,4006.4041706175994,96
016_220327_1709_1_0_11.pts,left,7016.3108594798105,96
016_220327_1709_1_0_11.pts,right,4081.966455253445,96
016_220327_1709_1_0_12.pts,left,6249.633097639221,96
016_220327_1709_1_0_12.pts,right,3592.202632534311,96
016_220327_1709_1_0_13.pts,left,5967.385432323758,96
016_220327_1709_1_0_13.pts,right,3558.4235301911926,96
016_220327_1709_1_0_14.pts,left,5892.022115222614,96
016_220327_1709_1_0_14.pts,right,2540.321490289992,96
016_220327_1709_1_0_15.pts,left,5645.498721701547,96
016_220327_1709_1_0_15.pts,right,3261.0578228949194,96
016_220327_1709_1_0_16.pts,left,5045.048735814813,96
016_220327_1709_1_0_16.pts,right,3822.470029402274,96
016_220327_1709_1_0_17.pts,left,2244.253435292559,96
016_220327_1709_1_0_17.pts,right,3086.6715053526577,96
016_220327_1709_1_0_18.pts,left,3806.807444694897,96
016_220327_1709_1_0_18.pts,right,2545.8777459637263,96
016_220327_1709_1_0_19.pts,left,4656.700759941317,96
016_220327_1709_1_0_19.pts,right,3124.6315439189284,96
016_220327_1709_1_0_2.pts,left,5953.599076562218,96
016_220327_1709_1_0_2.pts,right,3726.0423335588584,96
016_220327_1709_1_0_3.pts,left,6657.5802483479965,96
016_220327_1709_1_0_3.pts,right,3828.0533376794233,96
016_220327_1709_1_0_4.pts,left,5082.630037933369,96
016_220327_1709_1_0_4.pts,right,3810.5982998302516,96
016_220327_1709_1_0_5.pts,left,4320.04769118264,96
016_220327_1709_1_0_5.pts,right,3414.077819734277,96
028_220326_1343_2_0_1.pts,left,1403.8774004572954,96
028_220326_1343_2_0_1.pts,right,1049.5162211078746,96
028_220326_1343_2_0_2.pts,left,2036.9126834788055,96
028_220326_1343_2_0_2.pts,right,876.7705130624713,96
028_220326_1343_2_0_3.pts,left,2749.900626869456,96
028_220326_1343_2_0_3.pts,right,1038.1855436039368,96
028_220326_1343_2_0_4.pts,left,491.1260522003186,96
028_220326_1343_2_0_4.pts,right,536.6904903175114,96
028_220326_1343_2_0_5.pts,left,1864.1879193843815,96
028_220326_1343_2_0_5.pts,right,767.638565593777,96
028_220326_1343_2_0_6.pts,left,2348.6241245618116,96
028_220326_1343_2_0_6.pts,right,1151.3116770658341,96
028_220326_1343_2_0_7.pts,left,390.19453422211205,96
028_220326_1343_2_0_7.pts,right,590.2223564700523,96
028_220326_1343_2_0_8.pts,left,1744.872848394924,96
028_220326_1343_2_0_8.pts,right,919.6349268268206,96
028_220326_1343_2_0_9.pts,left,2523.9433205893056,96
028_220326_1343_2_0_9.pts,right,961.021919379383,96
028_220328_0634_2_0_1.pts,left,1840.3702837470428,96
028_220328_0634_2_0_1.pts,right,721.0932524369608,96
028_220328_0638_5_5_1.pts,left,5197.42383349551,96
028_220328_0638_5_5_1.pts,right,2355.1612552751894,96
028_220328_0638_5_5_2.pts,left,2159.30215194558,96
028_220328_0638_5_5_2.pts,right,812.7457274469433,96
028_220328_0638_5_5_3.pts,left,1711.3110395436922,96
028_220328_0638_5_5_3.pts,right,828.7425427060783,96
028_220328_0638_5_5_5.pts,left,1879.4578050100727,96
028_220328_0638_5_5_5.pts,right,919.5834396138924,96
028_220328_0638_5_5_6.pts,left,1032.422466413844,96
028_220328_0638_5_5_6.pts,right,320.97041276488966,96
028_220328_0638_5_5_7.pts,left,2098.623162506145,96
028_220328_0638_5_5_7.pts,right,831.1903669820236,96
028_220328_0638_5_5_8.pts,left,1870.9973214610354,96
028_220328_0638_5_5_8.pts,right,718.3993367365371,96
028_220328_0644_5_5_1.pts,left,3389.3465042334615,96
028_220328_0644_5_5_1.pts,right,2368.0714557521446,96
028_220328_0644_5_5_2.pts,left,2048.892623464458,96
028_220328_0644_5_5_2.pts,right,1750.0014984019313,96
028_220328_0644_5_5_3.pts,left,1500.2029945395052,96
028_220328_0644_5_5_3.pts,right,921.3750200910871,96
028_220328_0644_5_5_4.pts,left,1535.680302244786,96
028_220328_0644_5_5_4.pts,right,388.3462305442345,96
028_220328_1645_2_0_54.pts,left,1788.8403102465468,96
028_220328_1645_2_0_54.pts,right,879.5220246282539,96
028_220328_1645_2_0_55.pts,left,2029.3894417380602,96
028_220328_1645_2_0_55.pts,right,988.4017720200544,96
028_220328_1645_2_0_56.pts,left,2099.80213241585,96
028_220328_1645_2_0_56.pts,right,976.5335331064745,96
028_220328_1645_2_0_57.pts,left,2435.7692867785513,96
028_220328_1645_2_0_57.pts,right,762.4784996602588,96
028_220328_1645_2_0_58.pts,left,2054.6731539470593,96
028_220328_1645_2_0_58.pts,right,1179.3791894317774,96
028_220328_1645_2_0_59.pts,left,1706.1658089088262,96
028_220328_1645_2_0_59.pts,right,1079.0410833992466,96
028_220328_1645_2_0_60.pts,left,1610.6221223315522,96
028_220328_1645_2_0_60.pts,right,941.6749446210031,96
028_220328_1645_2_0_61.pts,left,1739.9431659226927,96
028_220328_1645_2_0_61.pts,right,942.3608590170702,96
028_220328_1645_2_0_62.pts,left,3022.3395417887295,96
028_220328_1645_2_0_62.pts,right,350.88884680258343,96
028_220328_1645_2_0_63.pts,left,2084.451088979967,96
028_220328_1645_2_0_63.pts,right,481.1837841163374,96
028_220328_1645_2_0_64.pts,left,2335.1501827364264,96
028_220328_1645_2_0_64.pts,right,598.4672918564759,96
028_220328_1645_2_0_65.pts,left,2492.7665041609143,96
028_220328_1645_2_0_65.pts,right,581.8901546210359,96
028_220328_1645_2_0_66.pts,left,1053.415286656822,96
028_220328_1645_2_0_66.pts,right,385.1767126226111,96
028_220328_1645_2_0_67.pts,left,2139.9307425777174,96
028_220328_1645_2_0_67.pts,right,720.5364924055688,96
028_220328_1645_2_0_68.pts,left,1571.2160784800321,96
028_220328_1645_2_0_68.pts,right,536.3964023385564,96
028_220328_1645_2_0_69.pts,left,1654.2405183327585,96
028_220328_1645_2_0_69.pts,right,669.2657002989965,96
028_220328_1645_2_0_70.pts,left,2079.372180856659,96
028_220328_1645_2_0_70.pts,right,809.8022296634614,96
028_220328_1645_2_0_71.pts,left,1498.5414410916062,96
028_220328_1645_2_0_71.pts,right,519.5949902942363,96
028_220328_1645_2_0_72.pts,left,1129.6931562859927,96
028_220328_1645_2_0_72.pts,right,649.6508175004609,96
028_220328_1645_2_0_73.pts,left,1849.6667800078112,96
028_220328_1645_2_0_73.pts,right,1008.4110992294883,96
028_220328_1646_2_0_1.pts,left,2026.8438790240045,96
028_220328_1646_2_0_1.pts,right,353.42306487645715,96
028_220328_1646_2_0_2.pts,left,2302.831048312583,96
028_220328_1646_2_0_2.pts,right,481.75712477562104,96
028_220328_1646_2_0_3.pts,left,1410.1605857644463,96
028_220328_1646_2_0_3.pts,right,321.9364525058617,96
028_220329_0632_5_5_1.pts,left,1663.9218596935525,96
028_220329_0632_5_5_1.pts,right,901.3691835400766,96
028_220329_0632_5_5_2.pts,left,1481.7644636567697,96
028_220329_0632_5_5_2.pts,right,852.0391975617176,96
028_220329_0632_5_5_3.pts,left,2684.937726780992,96
028_220329_0632_5_5_3.pts,right,792.6351711408228,96
028_220329_0632_5_5_5.pts,left,1355.444513714427,96
028_220329_0632_5_5_5.pts,right,335.7882581143179,96
028_220329_0632_5_5_6.pts,left,1601.8745321204956,96
028_220329_0632_5_5_6.pts,right,935.4659358070392,96
028_220329_0632_5_5_7.pts,left,1341.5167862835294,96
028_220329_0632_5_5_7.pts,right,478.7621397791857,96
028_220329_0632_5_5_8.pts,left,1843.856578927925,96
028_220329_0632_5_5_8.pts,right,833.0500153000254,96
028_220329_0633_4_0_1.pts,left,1953.1080814503684,96
028_220329_0633_4_0_1.pts,right,2623.945450740812,96
028_220329_0633_4_0_2.pts,left,2116.1925194213604,96
028_220329_0633_4_0_2.pts,right,2588.60340605255,96
028_220329_0633_4_0_3.pts,left,1898.696569354816,96
028_220329_0633_4_0_3.pts,right,2286.2591470649754,96
028_220329_0638_5_5_1.pts,left,1789.2460992976535,96
028_220329_0638_5_5_1.pts,right,699.1518457455196,96
028_220329_0638_5_5_2.pts,left,1084.2770711551855,96
028_220329_0638_5_5_2.pts,right,753.892352405074,96
028_220329_0638_5_5_4.pts,left,1181.79472511651,96
028_220329_0638_5_5_4.pts,right,512.963611801265,96
028_220329_0638_5_5_5.pts,left,1929.8568051553154,96
028_220329_0638_5_5_5.pts,right,837.7929475423385,96
028_220329_0638_5_5_6.pts,left,1643.3051579043706,96
028_220329_0638_5_5_6.pts,right,946.2590519013787,96
028_220329_0638_5_5_7.pts,left,1590.823107296916,96
028_220329_0638_5_5_7.pts,right,717.6881150663265,96
028_220329_0638_5_5_8.pts,left,1663.4750554050054,96
028_220329_0638_5_5_8.pts,right,792.450166240146,96
028_220329_0644_5_5_1.pts,left,1909.7191962458187,96
028_220329_0644_5_5_1.pts,right,813.9796752281095,96
028_220329_0644_5_5_2.pts,left,3467.189061537056,96
028_220329_0644_5_5_2.pts,right,993.5679466059574,96
028_220329_0644_5_5_3.pts,left,2090.8101961095967,96
028_220329_0644_5_5_3.pts,right,676.4695467865971,96
028_220329_0644_5_5_4.pts,left,2255.3711826277477,96
028_220329_0644_5_5_4.pts,right,570.4652293374936,96
028_220329_0644_5_5_5.pts,left,2748.204166836528,96
028_220329_0644_5_5_5.pts,right,612.9814499160564,96
028_220329_0644_5_5_6.pts,left,2523.296676101404,96
028_220329_0644_5_5_6.pts,right,1065.6090294758721,96
028_220329_0644_5_5_7.pts,left,2169.2575099989663,96
028_220329_0644_5_5_7.pts,right,645.1609579996792,96
028_220329_0644_5_5_8.pts,left,1843.9141747932383,96
028_220329_0644_5_5_8.pts,right,1023.9715821756893,96
028_220329_0650_5_5_1.pts,left,2850.41762915035,96
028_220329_0650_5_5_1.pts,right,520.4789995603687,96
028_220329_0650_5_5_2.pts,left,2818.9100728286658,96
028_220329_0650_5_5_2.pts,right,307.23816221020525,96
028_220329_0650_5_5_4.pts,left,2771.521765643166,96
028_220329_0650_5_5_4.pts,right,1349.8489881325565,96
028_220329_0650_5_5_6.pts,left,1949.9935414001757,96
028_220329_0650_5_5_6.pts,right,999.9000011321615,96
028_220329_0650_5_5_7.pts,left,2291.1399603181817,96
028_220329_0650_5_5_7.pts,right,823.7264664358631,96
028_220329_0650_5_5_8.pts,left,2482.229078802007,96
028_220329_0650_5_5_8.pts,right,751.5824091400409,96
028_220329_1625_5_5_1.pts,left,1643.486672146561,96
028_220329_1625_5_5_1.pts,right,1113.1997948546632,96
028_220329_1625_5_5_2.pts,left,2968.1435778558653,96
028_220329_1625_5_5_2.pts,right,748.9068193967412,96
028_220329_1625_5_5_4.pts,left,6945.961000655073,96
028_220329_1625_5_5_4.pts,right,3914.530911457242,96
028_220329_1625_5_5_5.pts,left,2321.613409057947,96
028_220329_1625_5_5_5.pts,right,666.5525859767616,96
028_220329_1625_5_5_6.pts,left,2890.739970859185,96
028_220329_1625_5_5_6.pts,right,1330.887731138902,96
028_220329_1625_5_5_7.pts,left,1977.0478901353376,96
028_220329_1625_5_5_7.pts,right,893.9794594871694,96
028_220329_1625_5_5_8.pts,left,5912.774080028796,96
028_220329_1625_5_5_8.pts,right,5319.785376694429,96
028_220329_1631_2_0_1.pts,left,8701.363420427242,96
