label,eye_side,iris_size,dpi
0001-00-a-g.pts,left,1993.6412341031998,96
0001-00-a-g.pts,right,1665.511075115789,96
0001-00-a.pts,left,1602.997651494192,96
0001-00-a.pts,right,1752.048769614507,96
0001-01-a-g.pts,left,1692.4729976406827,96
0001-01-a-g.pts,right,1767.8077076847314,96
0001-04-a.pts,left,1646.6308827940518,96
0001-04-a.pts,right,1638.6896346974734,96
0001-05-a.pts,left,1799.2599258809562,96
0001-05-a.pts,right,1774.3889840400382,96
0001-06-a-g.pts,left,1883.7630156152943,96
0001-06-a-g.pts,right,2301.273099803428,96
0001-07-a.pts,left,1670.6291600089723,96
0001-07-a.pts,right,1768.3675981206577,96
0001-10-a.pts,left,1552.3831031863551,96
0001-10-a.pts,right,1626.6468628587177,96
0001-13-a.pts,left,1607.535507549377,96
0001-13-a.pts,right,1686.8607220525223,96
0001-15-a.pts,left,1722.9890375688035,96
0001-15-a.pts,right,1619.6655458507403,96
0001-26-a.pts,left,1575.1596499248815,96
0001-26-a.pts,right,1567.7420006039038,96
0001-29-a-g.pts,left,1930.808264413574,96
0001-29-a-g.pts,right,1805.8502164075762,96
0001-31-a.pts,left,1543.743723388983,96
0001-31-a.pts,right,1638.6896346974734,96
0001-33-a.pts,left,1747.5109135593225,96
0001-33-a.pts,right,1688.2569854541182,96
0001-41-a-g.pts,left,2361.4031441719003,96
0001-41-a-g.pts,right,2451.8077759421026,96
0001-44-a-g.pts,left,2215.105700753532,96
0001-44-a-g.pts,right,2112.7545195961316,96
0001-46-a-g.pts,left,2008.80040853999,96
0001-46-a-g.pts,right,2450.4654673080586,96
0001-48-a-g.pts,left,2046.2629728855218,96
0001-48-a-g.pts,right,1818.933922184356,96
0001-48-a.pts,left,1220.4214794570355,96
0001-48-a.pts,right,1299.223095184576,96
0001-49-a-g.pts,left,2174.639345992762,96
0001-49-a-g.pts,right,2236.355988658563,96
0002-00-a-g.pts,left,2299.7783751017896,96
0002-00-a-g.pts,right,1866.2805691575402,96
0002-02-a.pts,left,1434.049779901142,96
0002-02-a.pts,right,1545.0527203279828,96
0002-05-a-g.pts,left,1710.3939599459397,96
0002-05-a-g.pts,right,1354.391900587607,96
0002-06-a.pts,left,1155.4952312828448,96
0002-06-a.pts,right,1320.3415791337102,96
0002-13-a-g.pts,left,1415.9277950698558,96
0002-13-a-g.pts,right,1195.3760046909163,96
0002-13-a.pts,left,1703.441349946464,96
0002-13-a.pts,right,1806.8521081271272,96
0002-14-a-g.pts,left,986.111027376795,96
0002-14-a-g.pts,right,1020.0576813280858,96
0002-15-a.pts,left,1261.2621839537005,96
0002-15-a.pts,right,1263.7056449064944,96
0002-16-a-g.pts,left,1772.1406330021543,96
0002-16-a-g.pts,right,2039.718307129179,96
0002-23-a.pts,left,1524.8069010048473,96
0002-23-a.pts,right,1504.6483481443086,96
0002-25-a.pts,left,1720.9819089290072,96
0002-25-a.pts,right,1736.3408063465615,96
0002-26-a.pts,left,1548.805178219768,96
0002-26-a.pts,right,1595.2309363228144,96
0002-29-a.pts,left,1136.6456753613083,96
0002-29-a.pts,right,1098.9465635182316,96
0002-38-a.pts,left,1558.6662884935354,96
0002-38-a.pts,right,1479.0792746025973,96
0002-39-a-g.pts,left,1330.312804269831,96
0002-39-a-g.pts,right,1293.4779265859834,96
0002-42-a.pts,left,1066.483439431136,96
0002-42-a.pts,right,1064.650843716539,96
0002-45-a.pts,left,1269.6397643632745,96
0002-45-a.pts,right,1278.0173447728503,96
0002-46-a-g.pts,left,2161.8318006209,96
0002-46-a-g.pts,right,2432.643779247394,96
0002-47-a-g.pts,left,2853.8893501108832,96
0002-47-a-g.pts,right,2292.441077911495,96
0002-49-a-g.pts,left,1343.9791501783918,96
0002-49-a-g.pts,right,1941.8746694742126,96
0003-02-a-g.pts,left,1235.8676433371857,96
0003-02-a-g.pts,right,1269.2034320502764,96
0003-06-a.pts,left,1553.343034274952,96
0003-06-a.pts,right,1532.4863497136178,96
0003-09-a-g.pts,left,1345.4743203624282,96
0003-09-a-g.pts,right,1613.6874974259795,96
0003-09-a.pts,left,1813.484359284708,96
0003-09-a.pts,right,1696.8090987888868,96
0003-10-a.pts,left,2024.5819323134212,96
0003-10-a.pts,right,1868.5494971851283,96
0003-11-a-g.pts,left,1453.5974675234772,96
0003-11-a-g.pts,right,1699.459423074941,96
0003-14-a-g.pts,left,1416.0617505372518,96
0003-14-a-g.pts,right,1699.3216423945187,96
0003-15-a-g.pts,left,1768.8117063527914,96
0003-15-a-g.pts,right,1701.758396025164,96
0003-16-a-g.pts,left,1662.762005391098,96
0003-16-a-g.pts,right,1617.473890142042,96
0003-17-a.pts,left,1533.5335472648155,96
0003-17-a.pts,right,1464.6803082736383,96
0003-22-a-g.pts,left,1255.6010168159748,96
0003-22-a-g.pts,right,1331.5853643997514,96
0003-24-a.pts,left,1328.9809589310826,96
0003-24-a.pts,right,1316.1527889289264,96
0003-27-a-g.pts,left,1216.4944886400467,96
0003-27-a-g.pts,right,1177.3991133953725,96
0003-38-a-g.pts,left,1939.5863560010064,96
0003-38-a-g.pts,right,2015.9578046180814,96
0003-39-a-g.pts,left,2114.873621096275,96
0003-39-a-g.pts,right,1622.1620492983777,96
0003-39-a.pts,left,1501.855821341122,96
0003-39-a.pts,right,1413.716694115407,96
0003-41-a-g.pts,left,1957.4055157208368,96
0003-41-a-g.pts,right,1854.6996039401317,96
0003-41-a.pts,left,1848.0418784741958,96
0003-41-a.pts,right,1766.4477359434618,96
0003-43-a.pts,left,1751.0015720633123,96
0003-43-a.pts,right,1690.1768476313086,96
0003-48-a.pts,left,1138.3910046133014,96
0003-48-a.pts,right,1101.7390903214225,96
0004-08-a.pts,left,1134.2022144085145,96
0004-08-a.pts,right,1049.3792127615927,96
0004-14-a.pts,left,1060.1129876613559,96
0004-14-a.pts,right,997.6302004399605,96
0004-15-a.pts,left,1209.338638706872,96
0004-15-a.pts,right,1071.7194271871197,96
0004-17-a.pts,left,1162.8256141412212,96
0004-17-a.pts,right,1156.455162371443,96
0004-22-a.pts,left,1204.3644503386859,96
0004-22-a.pts,right,1243.4598255833616,96
0004-23-a.pts,left,1258.2078577627124,96
0004-23-a.pts,right,1219.8106142188365,96
0004-24-a.pts,left,1273.566755180262,96
0004-24-a.pts,right,1178.5335774091739,96
0004-25-a.pts,left,1264.0547107568943,96
0004-25-a.pts,right,1224.5230031992194,96
0004-27-a.pts,left,1189.703684621934,96
0004-27-a.pts,right,1097.8120995044353,96
0004-29-a.pts,left,1164.6582098558147,96
0004-29-a.pts,right,1098.9465635182316,96
0004-30-a.pts,left,1162.3892818282234,96
0004-30-a.pts,right,1151.2191746154592,96
0004-31-a.pts,left,1380.2936389397144,96
0004-31-a.pts,right,1365.7201396855603,96
0004-32-a.pts,left,1350.5357751932113,96
0004-32-a.pts,right,1236.1294427249816,96
0004-33-a.pts,left,1244.5070231345583,96
0004-33-a.pts,right,1135.5112113475109,96
0004-37-a.pts,left,1173.7339219661856,96
0004-37-a.pts,right,1106.7132786896047,96
0004-39-a.pts,left,1233.0751165339939,96
0004-39-a.pts,right,1215.1854917010544,96
0004-43-a.pts,left,1240.3182329297686,96
0004-43-a.pts,right,1175.04291890518,96
0004-44-a.pts,left,974.6791207762332,96
0004-44-a.pts,right,1017.8760197630929,96
0005-01-a.pts,left,1873.8727514037128,96
0005-01-a.pts,right,1891.6751097740512,96
0005-04-a.pts,left,1805.455844725536,96
0005-04-a.pts,right,1873.261886165517,96
0005-06-a.pts,left,1324.094037025499,96
0005-06-a.pts,right,1366.6800707741572,96
0005-08-a.pts,left,1799.783524656553,96
0005-08-a.pts,right,1773.4290529514383,96
0005-10-a.pts,left,1575.0723834622831,96
0005-10-a.pts,right,1705.7102779740608,96
0005-14-a.pts,left,1598.1979960512067,96
0005-14-a.pts,right,1598.4597954390042,96
0005-17-a.pts,left,1658.848187558011,96
0005-17-a.pts,right,1738.6970008367482,96
0005-21-a.pts,left,1402.0229881270461,96
0005-21-a.pts,right,1527.5994278080368,96
0005-23-a.pts,left,1442.427360310712,96
0005-23-a.pts,right,1458.0480571160604,96
0005-26-a.pts,left,1536.06427468021,96
