label,eye_side,iris_size,dpi
000_1_1.pts,left,1071.437847721105,96
000_1_1.pts,right,1005.6645201387637,96
000_1_2.pts,left,1178.7701618507326,96
000_1_2.pts,right,1089.359933671004,96
000_2_1.pts,left,1061.2674449453314,96
000_2_1.pts,right,1015.0246837416996,96
000_2_2.pts,left,1059.8852789171708,96
000_2_2.pts,right,1012.5832286958102,96
000_3_1.pts,left,1022.726182678432,96
000_3_1.pts,right,974.5805980744219,96
000_3_2.pts,left,1117.4154060576388,96
000_3_2.pts,right,1060.1691321981323,96
000_4_1.pts,left,1088.3015994356522,96
000_4_1.pts,right,1012.6394875516525,96
000_4_2.pts,left,1119.7628096734566,96
000_4_2.pts,right,1084.6230597283463,96
001_1_1.pts,left,1096.1228345913362,96
001_1_1.pts,right,1085.6167276823157,96
001_1_2.pts,left,1061.58605986174,96
001_1_2.pts,right,1149.9771810409843,96
001_2_1.pts,left,1182.6034046631385,96
001_2_1.pts,right,1156.445199333947,96
001_2_2.pts,left,1037.436149575867,96
001_2_2.pts,right,1064.4055219822158,96
001_3_1.pts,left,1051.3045072760797,96
001_3_1.pts,right,1047.224734001568,96
001_3_2.pts,left,1040.0342734911897,96
001_3_2.pts,right,1069.61907850485,96
001_4_1.pts,left,1167.199099363509,96
001_4_1.pts,right,1107.2754154695563,96
001_4_2.pts,left,1272.7951590805894,96
001_4_2.pts,right,1216.0349259947036,96
002_1_1.pts,left,1115.4602449453894,96
002_1_1.pts,right,1106.918378962258,96
002_1_2.pts,left,1076.0984018189702,96
002_1_2.pts,right,1087.6234740077384,96
002_2_1.pts,left,1018.0647521634853,96
002_2_1.pts,right,985.4199175719092,96
002_2_2.pts,left,1028.8320038745696,96
002_2_2.pts,right,1247.2571727326447,96
002_3_1.pts,left,1015.15221329207,96
002_3_1.pts,right,1141.5645888902854,96
002_3_2.pts,left,1024.3178147458407,96
002_3_2.pts,right,989.4674061822607,96
002_4_1.pts,left,1109.5828077613326,96
002_4_1.pts,right,1009.5330409422714,96
002_4_2.pts,left,1063.612104903564,96
002_4_2.pts,right,1089.8651228881877,96
003_1_1.pts,left,1146.5633477418758,96
003_1_1.pts,right,1043.5159601301611,96
003_1_2.pts,left,1185.1785384906937,96
003_1_2.pts,right,1007.6549130781541,96
003_2_1.pts,left,1082.7564413507116,96
003_2_1.pts,right,1072.077528607054,96
003_2_2.pts,left,1149.9078221801026,96
003_2_2.pts,right,1109.4609667625773,96
003_3_1.pts,left,1013.4421299171247,96
003_3_1.pts,right,978.6023990161027,96
003_3_2.pts,left,1028.5160028505165,96
003_3_2.pts,right,989.2281666585654,96
003_4_1.pts,left,1162.1253412704953,96
003_4_1.pts,right,1002.5496431527561,96
003_4_2.pts,left,1068.5341889103886,96
003_4_2.pts,right,1077.057211097197,96
004_1_1.pts,left,1131.412052875523,96
004_1_1.pts,right,1100.2641315946487,96
004_1_2.pts,left,1152.5626398000536,96
004_1_2.pts,right,1057.5455755194798,96
004_2_1.pts,left,1182.3786398530754,96
004_2_1.pts,right,1078.3500207182399,96
004_2_2.pts,left,1113.8450033728618,96
004_2_2.pts,right,1032.9813044342413,96
004_3_1.pts,left,954.9539549855866,96
004_3_1.pts,right,941.839689914302,96
004_3_2.pts,left,1165.9854981944359,96
004_3_2.pts,right,1034.9741232940196,96
004_4_1.pts,left,1090.6298396853472,96
004_4_1.pts,right,1164.0745652089706,96
004_4_2.pts,left,1228.0509525825425,96
004_4_2.pts,right,1135.2656801736703,96
005_1_1.pts,left,1543.3603508232075,96
005_1_1.pts,right,1294.4621275824616,96
005_1_2.pts,left,1206.943644936542,96
005_1_2.pts,right,1272.125336707519,96
005_2_1.pts,left,1558.590932943151,96
005_2_1.pts,right,1407.278155044375,96
005_2_2.pts,left,1103.7401875396538,96
005_2_2.pts,right,1172.8218482420089,96
005_3_1.pts,left,916.9960629997781,96
005_3_1.pts,right,888.9066657758143,96
005_3_2.pts,left,1443.7098995417816,96
005_3_2.pts,right,1028.4487009474353,96
005_4_1.pts,left,1210.8352858548594,96
005_4_1.pts,right,1161.317111058883,96
005_4_2.pts,left,1196.7539953679122,96
005_4_2.pts,right,1327.936632970105,96
006_1_1.pts,left,806.8316290110815,96
006_1_1.pts,right,776.4810921167683,96
006_1_2.pts,left,900.8892398124053,96
006_1_2.pts,right,812.8446168424349,96
006_2_1.pts,left,867.1169207787134,96
006_2_1.pts,right,1022.4150403892238,96
006_2_2.pts,left,660.9067667253553,96
006_2_2.pts,right,948.8201901081953,96
006_3_1.pts,left,862.6782015194351,96
006_3_1.pts,right,830.6966141220311,96
006_3_2.pts,left,862.8783083178308,96
006_3_2.pts,right,853.3799333131636,96
006_4_1.pts,left,863.3855538819403,96
006_4_1.pts,right,1032.5029046248035,96
006_4_2.pts,left,931.7634122214932,96
006_4_2.pts,right,1076.251987389755,96
007_1_1.pts,left,1220.6166356290103,96
007_1_1.pts,right,846.5695550738594,96
007_1_2.pts,left,923.8047391067375,96
007_1_2.pts,right,919.0122160390084,96
007_2_1.pts,left,992.0795460514004,96
007_2_1.pts,right,850.4484106700022,96
007_2_2.pts,left,949.6944711708796,96
007_2_2.pts,right,972.9625623170241,96
007_3_1.pts,left,841.2699680435339,96
007_3_1.pts,right,999.1286441426139,96
007_3_2.pts,left,1116.203974681892,96
007_3_2.pts,right,1066.2168571430598,96
007_4_1.pts,left,1037.663011922634,96
007_4_1.pts,right,904.3326543479432,96
007_4_2.pts,left,730.3417263996804,96
007_4_2.pts,right,866.1639763303803,96
008_1_1.pts,left,1207.2574258145162,96
008_1_1.pts,right,1254.6159736527682,96
008_1_2.pts,left,1217.070039322494,96
008_1_2.pts,right,1125.7770043999872,96
008_2_1.pts,left,1124.731276328755,96
008_2_1.pts,right,931.7736768518979,96
008_2_2.pts,left,1136.6264698454834,96
008_2_2.pts,right,1102.667276052585,96
008_3_1.pts,left,925.5752200367798,96
008_3_1.pts,right,1030.2343179836128,96
008_3_2.pts,left,1052.604252137445,96
008_3_2.pts,right,1029.7534225278928,96
008_4_1.pts,left,1066.3660810487663,96
008_4_1.pts,right,1098.6175790771363,96
008_4_2.pts,left,1031.7913291763793,96
008_4_2.pts,right,1209.7687635818545,96
009_1_1.pts,left,1350.24342451499,96
009_1_1.pts,right,1315.4075215573457,96
009_1_2.pts,left,1351.894414968458,96
009_1_2.pts,right,1277.8266654576748,96
009_2_1.pts,left,1294.6905170050554,96
009_2_1.pts,right,1201.49129953423,96
009_2_2.pts,left,1062.6801810262086,96
009_2_2.pts,right,1065.6757625761654,96
009_3_1.pts,left,1173.0461444311745,96
009_3_1.pts,right,1082.734646289884,96
009_3_2.pts,left,1046.310750887191,96
009_3_2.pts,right,1014.891997703305,96
009_4_1.pts,left,1339.9419150492674,96
009_4_1.pts,right,1169.1447568089127,96
009_4_2.pts,left,1354.259111655563,96
009_4_2.pts,right,1194.8301327215347,96
010_1_1.pts,left,873.379108029661,96
010_1_1.pts,right,996.8624902285967,96
010_1_2.pts,left,1188.3802245757595,96
010_1_2.pts,right,1063.4356772489293,96
010_2_1.pts,left,880.2381152434531,96
010_2_1.pts,right,948.6589802411033,96
010_2_2.pts,left,1141.766135672578,96
010_2_2.pts,right,966.0840783632464,96
010_3_1.pts,left,1256.8713985042666,96
010_3_1.pts,right,937.6439783445713,96
010_3_2.pts,left,1144.7895249426476,96
010_3_2.pts,right,957.9990714231752,96
010_4_1.pts,left,1076.527206177841,96
010_4_1.pts,right,952.5106827901499,96
010_4_2.pts,left,1155.4507359461613,96
010_4_2.pts,right,988.0475073573956,96
011_1_1.pts,left,1250.6117521036485,96
011_1_1.pts,right,1103.6501976652928,96
011_1_2.pts,left,1372.96580234219,96
011_1_2.pts,right,1105.5192599402078,96
011_2_1.pts,left,1092.0072542291523,96
011_2_1.pts,right,826.3864610514457,96
011_2_2.pts,left,1155.1944322511133,96
011_2_2.pts,right,1036.3619929709155,96
011_3_1.pts,left,1133.595819394863,96
011_3_1.pts,right,997.6421261002054,96
011_3_2.pts,left,1170.7719625262048,96
011_3_2.pts,right,1070.0470922295651,96
011_4_1.pts,left,1152.1577244607904,96
011_4_1.pts,right,1056.5709436098668,96
011_4_2.pts,left,1146.5437957782005,96
011_4_2.pts,right,1123.2482154345275,96
012_1_1.pts,left,1043.5669804675176,96
012_1_1.pts,right,1044.5245670553354,96
012_1_2.pts,left,881.5728467132049,96
012_1_2.pts,right,983.4574582781233,96
012_2_1.pts,left,1105.8238191965497,96
012_2_1.pts,right,1049.6373024520617,96
012_2_2.pts,left,1003.5247380109672,96
012_2_2.pts,right,1052.5025339995725,96
012_3_1.pts,left,1090.4879789746792,96
012_3_1.pts,right,990.9522511520464,96
012_3_2.pts,left,1125.8926607372669,96
012_3_2.pts,right,975.3210898760902,96
012_4_1.pts,left,1001.7309629567942,96
012_4_1.pts,right,1045.8085906016604,96
012_4_2.pts,left,1250.3634688946422,96
012_4_2.pts,right,1047.7555526806857,96
013_1_1.pts,left,1465.104864937444,96
013_1_1.pts,right,1414.8339073821473,96
013_1_2.pts,left,1317.582100576235,96
013_1_2.pts,right,1422.8691003564302,96
013_2_1.pts,left,907.7133140866875,96
013_2_1.pts,right,1081.4185740478924,96
013_2_2.pts,left,1057.909136416584,96
013_2_2.pts,right,1027.851408960296,96
013_3_1.pts,left,1060.603776515948,96
013_3_1.pts,right,897.6344437072721,96
013_3_2.pts,left,1028.4668775043933,96
013_3_2.pts,right,1062.1284824496547,96
013_4_1.pts,left,1091.8912833835448,96
013_4_1.pts,right,1097.176433573902,96
013_4_2.pts,left,1071.6152482222656,96
013_4_2.pts,right,1289.5768772659683,96
016_1_1.pts,left,1056.0448215244994,96
016_1_1.pts,right,1052.087255157009,96
016_1_2.pts,left,1146.3457686268757,96
016_1_2.pts,right,1117.558379415709,96
016_2_1.pts,left,1071.970035523752,96
016_2_1.pts,right,995.2002264317006,96
016_2_2.pts,left,964.3214924300759,96
016_2_2.pts,right,963.7784355895104,96
016_3_1.pts,left,1178.8357711335123,96
016_3_1.pts,right,882.6800967679031,96
016_3_2.pts,left,971.5264928421169,96
016_3_2.pts,right,984.50418947735,96
016_4_1.pts,left,1019.7986253360681,96
016_4_1.pts,right,993.2393604489878,96
016_4_2.pts,left,1062.7869874969788,96
016_4_2.pts,right,1033.4483211190197,96
017_1_1.pts,left,1209.7063922339028,96
017_1_1.pts,right,918.6413497172498,96
017_1_2.pts,left,1174.3965161454196,96
017_1_2.pts,right,1027.3950145238814,96
017_2_1.pts,left,1099.4085626432097,96
017_2_1.pts,right,1026.4909632928707,96
017_2_2.pts,left,1192.6570352253834,96
017_2_2.pts,right,1020.9695128878325,96
017_3_1.pts,left,1073.7811793965102,96
