label,object
sharan_test_imageID_0001_GT_3_4_4.csv,Panel
sharan_test_imageID_0001_GT_3_4_4.csv,Ramy02
sharan_test_imageID_0002_GT_4_3_4.csv,lamp_gas_HP
sharan_test_imageID_0002_GT_4_3_4.csv,pillow3_main
sharan_test_imageID_0004_GT_4_3_3.csv,Stereo textured mesh
sharan_test_imageID_0006_GT_4_4_3.csv,PIONEER XDJ - RX2
sharan_test_imageID_0006_GT_4_4_3.csv,WashMachine
sharan_test_imageID_0007_GT_3_3_4.csv,Inlineskate
sharan_test_imageID_0003_GT_3_4_3.csv,Orange_Guitar_Amplifier
sharan_test_imageID_0009_GT_3_4_4.csv,pillow2_main
sharan_test_imageID_0009_GT_3_4_4.csv,Cylinder_LP
sharan_test_imageID_0010_GT_3_4_3.csv,Ramy02
sharan_test_imageID_0014_GT_4_3_4.csv,Ukulele
sharan_test_imageID_0014_GT_4_3_4.csv,lamp_gas_HP
sharan_test_imageID_0014_GT_4_4_3.csv,Panel
sharan_test_imageID_0014_GT_4_4_3.csv,polySurface798
sharan_test_imageID_0015_GT_4_3_3.csv,PIONEER XDJ - RX2
sharan_test_imageID_0018_GT_4_4_4.csv,Hammer_LP
sharan_test_imageID_0018_GT_4_4_4.csv,gitar_2
sharan_test_imageID_0018_GT_4_4_4.csv,pCylinder4
sharan_test_imageID_0021_GT_4_3_3.csv,polySurface798
sharan_test_imageID_0023_GT_3_3_4.csv,pCylinder4
sharan_test_imageID_0024_GT_3_4_4.csv,Hammer_LP
sharan_test_imageID_0024_GT_3_4_4.csv,Ramy02
sharan_test_imageID_0025_GT_4_3_3.csv,cadre_lowpoly
sharan_test_imageID_0026_GT_3_4_4.csv,pillow1_main
sharan_test_imageID_0026_GT_3_4_4.csv,polySurface798
sharan_test_imageID_0027_GT_3_3_4.csv,cadre_lowpoly
sharan_test_imageID_0032_GT_4_4_3.csv,Cardboardbox
sharan_test_imageID_0032_GT_4_4_3.csv,Hammer_LP
sharan_test_imageID_0033_GT_3_3_4.csv,suitcase-sketchfab-texturing-challenge
sharan_test_imageID_0033_GT_4_3_4.csv,cadre_lowpoly
sharan_test_imageID_0033_GT_4_3_4.csv,Violino
sharan_test_imageID_0034_GT_3_4_3.csv,Panel
sharan_test_imageID_0037_GT_4_0_3.csv,037_Vray
sharan_test_imageID_0039_GT_3_4_4.csv,Saw
sharan_test_imageID_0039_GT_3_4_4.csv,Bottle_main
sharan_test_imageID_0043_GT_3_4_4.csv,backpack_bag
sharan_test_imageID_0043_GT_3_4_4.csv,Ramy02
sharan_test_imageID_0047_GT_4_3_0.csv,Cardboardbox
sharan_test_imageID_0048_GT_4_3_4.csv,BoxAroundBottles
